sample_id,reason
train__c36__user7__6-1-3,only 7 common frames
train__c02__user8__7-1-3,only 6 common frames
train__c11__user8__7-2-3,only 5 common frames
train__c22__user8__6-2-2,only 5 common frames
train__c32__user8__5-1-1,only 5 common frames
train__c32__user8__5-1-2,only 5 common frames
train__c34__user8__4-1-1,only 7 common frames
train__c34__user8__4-1-2,only 6 common frames
train__c34__user8__5-1-2,only 6 common frames
train__c34__user8__5-1-3,only 6 common frames
train__c36__user8__2-2-3,only 7 common frames
train__c36__user8__3-3-2,only 5 common frames
train__c37__user8__7-2-2,only 4 common frames
train__c07__user9__7-2-1,only 3 common frames
train__c07__user9__7-2-2,only 4 common frames
train__c07__user9__7-2-3,only 6 common frames
train__c10__user9__3-2-3,only 6 common frames
train__c20__user9__6-1-1,only 6 common frames
train__c20__user9__6-1-2,only 5 common frames
train__c26__user9__6-2-2,only 7 common frames
train__c30__user9__2-2-3,only 4 common frames
train__c32__user9__5-1-1,only 6 common frames
train__c32__user9__5-1-3,only 7 common frames
train__c34__user9__1-2-1,only 7 common frames
train__c34__user9__1-2-2,only 5 common frames
train__c34__user9__1-2-3,only 7 common frames
train__c34__user9__6-1-2,only 3 common frames
train__c36__user9__1-2-2,only 7 common frames
train__c36__user9__2-2-3,only 6 common frames
train__c36__user9__2-3-2,only 6 common frames
train__c36__user9__2-3-3,only 5 common frames
train__c36__user9__3-2-2,only 7 common frames
train__c36__user9__3-2-3,only 6 common frames
train__c36__user9__4-3-3,only 5 common frames
train__c36__user9__5-3-1,only 5 common frames
train__c36__user9__5-3-2,only 5 common frames
train__c36__user9__7-2-1,only 7 common frames
train__c36__user9__7-2-2,only 5 common frames
train__c36__user9__7-2-3,only 5 common frames
train__c39__user9__6-2-2,only 6 common frames
