sample_id,class_id,action_name,user_id,trial_id,fold_split,unique_frames,retained_frames,single_person_frames,confident_multi_person_frames,ambiguous_frames,retained_segments,retention_rate
train__c00__user24__6-2-1,0,Wash_face,user24,6-2-1,validation,35,35,35,0,0,1,1.0
train__c00__user24__6-2-2,0,Wash_face,user24,6-2-2,validation,26,26,26,0,0,1,1.0
train__c00__user24__6-2-3,0,Wash_face,user24,6-2-3,validation,17,17,17,0,0,1,1.0
train__c00__user24__7-1-1,0,Wash_face,user24,7-1-1,validation,31,31,31,0,0,1,1.0
train__c00__user24__7-1-2,0,Wash_face,user24,7-1-2,validation,15,15,15,0,0,1,1.0
train__c00__user24__7-1-3,0,Wash_face,user24,7-1-3,validation,21,21,21,0,0,1,1.0
train__c00__user4__1-1-1,0,Wash_face,user4,1-1-1,validation,42,42,42,0,0,1,1.0
train__c00__user4__1-1-2,0,Wash_face,user4,1-1-2,validation,63,62,62,0,1,2,0.9841269841269841
train__c00__user4__1-1-3,0,Wash_face,user4,1-1-3,validation,31,31,31,0,0,1,1.0
train__c00__user5__1-1-1,0,Wash_face,user5,1-1-1,train,40,40,40,0,0,1,1.0
train__c00__user5__1-1-2,0,Wash_face,user5,1-1-2,train,38,38,38,0,0,1,1.0
train__c00__user5__1-1-3,0,Wash_face,user5,1-1-3,train,30,30,30,0,0,1,1.0
train__c00__user6__1-1-1,0,Wash_face,user6,1-1-1,train,47,47,0,47,0,1,1.0
train__c00__user6__1-1-2,0,Wash_face,user6,1-1-2,train,45,45,0,45,0,1,1.0
train__c00__user6__1-1-3,0,Wash_face,user6,1-1-3,train,34,33,0,33,1,2,0.9705882352941176
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,26,15,0,15,11,5,0.5769230769230769
train__c00__user8__1-1-2,0,Wash_face,user8,1-1-2,train,24,11,0,11,13,5,0.4583333333333333
train__c00__user8__1-1-3,0,Wash_face,user8,1-1-3,train,18,11,0,11,7,3,0.6111111111111112
train__c00__user8__7-1-1,0,Wash_face,user8,7-1-1,train,25,10,0,10,15,3,0.4
train__c00__user8__7-1-2,0,Wash_face,user8,7-1-2,train,28,10,0,10,18,5,0.35714285714285715
train__c00__user8__7-1-3,0,Wash_face,user8,7-1-3,train,18,5,3,2,13,3,0.2777777777777778
train__c01__user16__1-1-1,1,Brush_teeth,user16,1-1-1,train,32,32,32,0,0,1,1.0
train__c01__user16__1-1-2,1,Brush_teeth,user16,1-1-2,train,58,58,58,0,0,1,1.0
train__c01__user16__1-1-3,1,Brush_teeth,user16,1-1-3,train,19,19,19,0,0,1,1.0
train__c01__user17__1-1-1,1,Brush_teeth,user17,1-1-1,validation,20,20,20,0,0,1,1.0
train__c01__user17__1-1-2,1,Brush_teeth,user17,1-1-2,validation,25,25,25,0,0,1,1.0
train__c01__user17__1-1-3,1,Brush_teeth,user17,1-1-3,validation,24,24,24,0,0,1,1.0
train__c01__user18__1-1-1,1,Brush_teeth,user18,1-1-1,train,41,41,41,0,0,1,1.0
train__c01__user18__1-1-2,1,Brush_teeth,user18,1-1-2,train,35,35,35,0,0,1,1.0
train__c01__user18__1-1-3,1,Brush_teeth,user18,1-1-3,train,31,31,31,0,0,1,1.0
train__c01__user18__7-1-1,1,Brush_teeth,user18,7-1-1,train,23,23,23,0,0,1,1.0
train__c01__user18__7-1-2,1,Brush_teeth,user18,7-1-2,train,13,13,13,0,0,1,1.0
train__c01__user18__7-1-3,1,Brush_teeth,user18,7-1-3,train,5,5,5,0,0,1,1.0
train__c01__user19__1-1-1,1,Brush_teeth,user19,1-1-1,train,18,18,18,0,0,1,1.0
train__c01__user19__1-1-2,1,Brush_teeth,user19,1-1-2,train,7,7,7,0,0,1,1.0
train__c01__user19__1-1-3,1,Brush_teeth,user19,1-1-3,train,14,14,14,0,0,1,1.0
train__c01__user20__4-2-1,1,Brush_teeth,user20,4-2-1,train,22,22,22,0,0,1,1.0
train__c01__user20__4-2-2,1,Brush_teeth,user20,4-2-2,train,12,12,12,0,0,1,1.0
train__c01__user20__4-2-3,1,Brush_teeth,user20,4-2-3,train,20,20,20,0,0,1,1.0
train__c01__user21__4-2-1,1,Brush_teeth,user21,4-2-1,train,15,15,15,0,0,1,1.0
train__c01__user21__4-2-2,1,Brush_teeth,user21,4-2-2,train,11,11,11,0,0,1,1.0
train__c01__user21__4-2-3,1,Brush_teeth,user21,4-2-3,train,10,10,10,0,0,1,1.0
train__c01__user22__1-1-2,1,Brush_teeth,user22,1-1-2,train,16,16,16,0,0,1,1.0
train__c01__user22__1-1-3,1,Brush_teeth,user22,1-1-3,train,8,8,8,0,0,1,1.0
train__c01__user22__2-2-1,1,Brush_teeth,user22,2-2-1,train,18,18,18,0,0,1,1.0
train__c01__user22__2-2-2,1,Brush_teeth,user22,2-2-2,train,10,10,9,1,0,1,1.0
train__c01__user22__2-2-3,1,Brush_teeth,user22,2-2-3,train,7,7,7,0,0,1,1.0
train__c01__user23__1-1-1,1,Brush_teeth,user23,1-1-1,validation,39,39,39,0,0,1,1.0
train__c01__user23__1-1-2,1,Brush_teeth,user23,1-1-2,validation,16,16,16,0,0,1,1.0
train__c01__user23__1-1-3,1,Brush_teeth,user23,1-1-3,validation,23,23,23,0,0,1,1.0
train__c01__user24__6-2-1,1,Brush_teeth,user24,6-2-1,validation,26,26,26,0,0,1,1.0
train__c01__user24__6-2-2,1,Brush_teeth,user24,6-2-2,validation,8,8,8,0,0,1,1.0
train__c01__user24__6-2-3,1,Brush_teeth,user24,6-2-3,validation,4,4,4,0,0,1,1.0
train__c01__user24__7-1-1,1,Brush_teeth,user24,7-1-1,validation,12,12,12,0,0,1,1.0
train__c01__user24__7-1-2,1,Brush_teeth,user24,7-1-2,validation,3,3,3,0,0,1,1.0
train__c01__user24__7-1-3,1,Brush_teeth,user24,7-1-3,validation,7,7,7,0,0,1,1.0
train__c01__user6__1-1-1,1,Brush_teeth,user6,1-1-1,train,72,71,0,71,1,2,0.9861111111111112
train__c01__user6__1-1-2,1,Brush_teeth,user6,1-1-2,train,76,75,0,75,1,2,0.9868421052631579
train__c01__user6__1-1-3,1,Brush_teeth,user6,1-1-3,train,28,22,0,22,6,4,0.7857142857142857
train__c01__user7__1-1-1,1,Brush_teeth,user7,1-1-1,train,36,36,0,36,0,1,1.0
train__c01__user7__1-1-2,1,Brush_teeth,user7,1-1-2,train,18,18,0,18,0,1,1.0
train__c01__user7__1-1-3,1,Brush_teeth,user7,1-1-3,train,21,21,0,21,0,1,1.0
train__c01__user8__1-1-1,1,Brush_teeth,user8,1-1-1,train,26,23,0,23,3,4,0.8846153846153846
train__c01__user8__1-1-2,1,Brush_teeth,user8,1-1-2,train,46,36,0,36,10,7,0.782608695652174
train__c01__user8__1-1-3,1,Brush_teeth,user8,1-1-3,train,40,40,0,40,0,1,1.0
train__c01__user8__7-1-1,1,Brush_teeth,user8,7-1-1,train,13,13,0,13,0,1,1.0
train__c01__user8__7-1-2,1,Brush_teeth,user8,7-1-2,train,16,13,0,13,3,3,0.8125
train__c01__user8__7-1-3,1,Brush_teeth,user8,7-1-3,train,12,9,0,9,3,2,0.75
train__c01__user9__1-1-1,1,Brush_teeth,user9,1-1-1,train,25,22,0,22,3,3,0.88
train__c02__user16__2-2-1,2,Comb_hair,user16,2-2-1,train,32,32,32,0,0,1,1.0
train__c02__user16__2-2-2,2,Comb_hair,user16,2-2-2,train,45,45,45,0,0,1,1.0
train__c02__user16__2-2-3,2,Comb_hair,user16,2-2-3,train,17,17,17,0,0,1,1.0
train__c02__user17__1-1-1,2,Comb_hair,user17,1-1-1,validation,70,70,70,0,0,1,1.0
train__c02__user17__1-1-2,2,Comb_hair,user17,1-1-2,validation,11,11,11,0,0,1,1.0
train__c02__user17__1-1-3,2,Comb_hair,user17,1-1-3,validation,21,21,21,0,0,1,1.0
train__c02__user18__7-1-1,2,Comb_hair,user18,7-1-1,train,24,24,24,0,0,1,1.0
train__c02__user18__7-1-2,2,Comb_hair,user18,7-1-2,train,13,13,13,0,0,1,1.0
train__c02__user18__7-1-3,2,Comb_hair,user18,7-1-3,train,6,6,6,0,0,1,1.0
train__c02__user19__1-1-1,2,Comb_hair,user19,1-1-1,train,11,11,11,0,0,1,1.0
train__c02__user19__1-1-2,2,Comb_hair,user19,1-1-2,train,10,10,10,0,0,1,1.0
train__c02__user19__1-1-3,2,Comb_hair,user19,1-1-3,train,13,13,13,0,0,1,1.0
train__c02__user1__1-1-1,2,Comb_hair,user1,1-1-1,train,56,56,56,0,0,1,1.0
train__c02__user1__1-1-2,2,Comb_hair,user1,1-1-2,train,53,53,53,0,0,1,1.0
train__c02__user1__1-1-3,2,Comb_hair,user1,1-1-3,train,16,16,16,0,0,1,1.0
train__c02__user20__1-1-1,2,Comb_hair,user20,1-1-1,train,25,25,25,0,0,1,1.0
train__c02__user20__1-1-2,2,Comb_hair,user20,1-1-2,train,20,20,20,0,0,1,1.0
train__c02__user20__1-1-3,2,Comb_hair,user20,1-1-3,train,25,25,25,0,0,1,1.0
train__c02__user20__4-2-1,2,Comb_hair,user20,4-2-1,train,13,13,13,0,0,1,1.0
train__c02__user20__4-2-2,2,Comb_hair,user20,4-2-2,train,16,16,16,0,0,1,1.0
train__c02__user20__4-2-3,2,Comb_hair,user20,4-2-3,train,18,18,18,0,0,1,1.0
train__c02__user21__4-2-1,2,Comb_hair,user21,4-2-1,train,16,16,16,0,0,1,1.0
train__c02__user21__4-2-2,2,Comb_hair,user21,4-2-2,train,11,11,11,0,0,1,1.0
train__c02__user21__4-2-3,2,Comb_hair,user21,4-2-3,train,7,7,7,0,0,1,1.0
train__c02__user22__1-2-1,2,Comb_hair,user22,1-2-1,train,17,17,17,0,0,1,1.0
train__c02__user22__1-2-2,2,Comb_hair,user22,1-2-2,train,6,6,6,0,0,1,1.0
train__c02__user22__1-2-3,2,Comb_hair,user22,1-2-3,train,7,7,7,0,0,1,1.0
train__c02__user22__2-2-1,2,Comb_hair,user22,2-2-1,train,13,13,13,0,0,1,1.0
train__c02__user22__2-2-2,2,Comb_hair,user22,2-2-2,train,17,17,17,0,0,1,1.0
train__c02__user22__2-2-3,2,Comb_hair,user22,2-2-3,train,8,8,8,0,0,1,1.0
train__c02__user23__2-2-1,2,Comb_hair,user23,2-2-1,validation,36,36,36,0,0,1,1.0
train__c02__user23__2-2-2,2,Comb_hair,user23,2-2-2,validation,28,28,28,0,0,1,1.0
train__c02__user23__2-2-3,2,Comb_hair,user23,2-2-3,validation,20,20,20,0,0,1,1.0
train__c02__user24__7-1-1,2,Comb_hair,user24,7-1-1,validation,13,13,13,0,0,1,1.0
train__c02__user24__7-1-2,2,Comb_hair,user24,7-1-2,validation,4,4,4,0,0,1,1.0
train__c02__user24__7-1-3,2,Comb_hair,user24,7-1-3,validation,6,6,6,0,0,1,1.0
train__c02__user3__1-2-1,2,Comb_hair,user3,1-2-1,train,12,12,12,0,0,1,1.0
train__c02__user3__1-2-3,2,Comb_hair,user3,1-2-3,train,5,5,5,0,0,1,1.0
train__c02__user5__1-1-1,2,Comb_hair,user5,1-1-1,train,66,66,66,0,0,1,1.0
train__c02__user5__1-1-2,2,Comb_hair,user5,1-1-2,train,79,79,79,0,0,1,1.0
train__c02__user5__1-1-3,2,Comb_hair,user5,1-1-3,train,24,24,24,0,0,1,1.0
train__c02__user5__7-1-1,2,Comb_hair,user5,7-1-1,train,70,70,70,0,0,1,1.0
train__c02__user5__7-1-2,2,Comb_hair,user5,7-1-2,train,62,62,62,0,0,1,1.0
train__c02__user5__7-1-3,2,Comb_hair,user5,7-1-3,train,59,59,59,0,0,1,1.0
train__c02__user6__2-2-1,2,Comb_hair,user6,2-2-1,train,24,24,0,24,0,1,1.0
train__c02__user6__2-2-2,2,Comb_hair,user6,2-2-2,train,37,37,0,37,0,1,1.0
train__c02__user7__1-1-1,2,Comb_hair,user7,1-1-1,train,36,36,0,36,0,1,1.0
train__c02__user7__1-1-2,2,Comb_hair,user7,1-1-2,train,14,12,0,12,2,2,0.8571428571428571
train__c02__user7__1-1-3,2,Comb_hair,user7,1-1-3,train,33,27,0,27,6,4,0.8181818181818182
train__c02__user8__7-1-2,2,Comb_hair,user8,7-1-2,train,8,7,0,7,1,1,0.875
train__c02__user8__7-1-3,2,Comb_hair,user8,7-1-3,train,6,6,0,6,0,1,1.0
train__c02__user9__1-1-1,2,Comb_hair,user9,1-1-1,train,19,19,0,19,0,1,1.0
train__c02__user9__1-1-2,2,Comb_hair,user9,1-1-2,train,13,13,0,13,0,1,1.0
train__c02__user9__1-1-3,2,Comb_hair,user9,1-1-3,train,10,10,0,10,0,1,1.0
train__c03__user17__6-1-1,3,Take_off_clothes,user17,6-1-1,validation,39,39,39,0,0,1,1.0
train__c03__user17__6-1-2,3,Take_off_clothes,user17,6-1-2,validation,32,32,32,0,0,1,1.0
train__c03__user17__6-1-3,3,Take_off_clothes,user17,6-1-3,validation,22,22,22,0,0,1,1.0
train__c03__user18__6-1-1,3,Take_off_clothes,user18,6-1-1,train,35,35,20,15,0,1,1.0
train__c03__user18__6-1-2,3,Take_off_clothes,user18,6-1-2,train,11,8,3,5,3,2,0.7272727272727273
train__c03__user18__6-1-3,3,Take_off_clothes,user18,6-1-3,train,22,22,21,1,0,1,1.0
train__c03__user18__7-1-1,3,Take_off_clothes,user18,7-1-1,train,16,16,16,0,0,1,1.0
train__c03__user18__7-1-2,3,Take_off_clothes,user18,7-1-2,train,10,10,10,0,0,1,1.0
train__c03__user18__7-1-3,3,Take_off_clothes,user18,7-1-3,train,11,9,9,0,2,2,0.8181818181818182
train__c03__user19__3-1-1,3,Take_off_clothes,user19,3-1-1,train,49,49,49,0,0,1,1.0
train__c03__user19__3-1-2,3,Take_off_clothes,user19,3-1-2,train,35,35,35,0,0,1,1.0
train__c03__user19__3-1-3,3,Take_off_clothes,user19,3-1-3,train,20,20,20,0,0,1,1.0
train__c03__user22__6-1-1,3,Take_off_clothes,user22,6-1-1,train,32,32,31,1,0,1,1.0
train__c03__user22__6-1-2,3,Take_off_clothes,user22,6-1-2,train,27,27,25,2,0,1,1.0
train__c03__user22__6-1-3,3,Take_off_clothes,user22,6-1-3,train,18,18,18,0,0,1,1.0
train__c03__user22__7-2-1,3,Take_off_clothes,user22,7-2-1,train,50,50,50,0,0,1,1.0
train__c03__user22__7-2-2,3,Take_off_clothes,user22,7-2-2,train,37,37,37,0,0,1,1.0
train__c03__user22__7-2-3,3,Take_off_clothes,user22,7-2-3,train,11,11,11,0,0,1,1.0
train__c03__user23__4-3-1,3,Take_off_clothes,user23,4-3-1,validation,15,15,15,0,0,1,1.0
train__c03__user23__4-3-2,3,Take_off_clothes,user23,4-3-2,validation,24,24,24,0,0,1,1.0
train__c03__user23__4-3-3,3,Take_off_clothes,user23,4-3-3,validation,17,17,17,0,0,1,1.0
train__c03__user23__5-2-1,3,Take_off_clothes,user23,5-2-1,validation,12,12,12,0,0,1,1.0
train__c03__user23__5-2-2,3,Take_off_clothes,user23,5-2-2,validation,24,21,21,0,3,4,0.875
train__c03__user23__5-2-3,3,Take_off_clothes,user23,5-2-3,validation,13,11,11,0,2,3,0.8461538461538461
train__c03__user4__5-2-2,3,Take_off_clothes,user4,5-2-2,validation,66,66,66,0,0,1,1.0
train__c03__user4__5-2-3,3,Take_off_clothes,user4,5-2-3,validation,24,24,24,0,0,1,1.0
train__c03__user7__5-1-1,3,Take_off_clothes,user7,5-1-1,train,68,68,68,0,0,1,1.0
train__c03__user7__5-1-2,3,Take_off_clothes,user7,5-1-2,train,76,76,76,0,0,1,1.0
train__c03__user7__5-1-3,3,Take_off_clothes,user7,5-1-3,train,40,40,39,1,0,1,1.0
train__c03__user7__6-1-1,3,Take_off_clothes,user7,6-1-1,train,18,18,18,0,0,1,1.0
train__c03__user7__6-1-2,3,Take_off_clothes,user7,6-1-2,train,20,20,20,0,0,1,1.0
train__c03__user7__6-1-3,3,Take_off_clothes,user7,6-1-3,train,18,18,18,0,0,1,1.0
train__c03__user8__6-1-1,3,Take_off_clothes,user8,6-1-1,train,35,35,34,1,0,1,1.0
train__c03__user8__6-1-2,3,Take_off_clothes,user8,6-1-2,train,25,25,24,1,0,1,1.0
train__c03__user8__6-1-3,3,Take_off_clothes,user8,6-1-3,train,34,34,34,0,0,1,1.0
train__c03__user8__7-1-1,3,Take_off_clothes,user8,7-1-1,train,37,24,0,24,13,4,0.6486486486486487
train__c03__user8__7-1-2,3,Take_off_clothes,user8,7-1-2,train,21,15,0,15,6,3,0.7142857142857143
train__c03__user8__7-1-3,3,Take_off_clothes,user8,7-1-3,train,11,10,0,10,1,1,0.9090909090909091
train__c03__user9__3-1-1,3,Take_off_clothes,user9,3-1-1,train,69,69,69,0,0,1,1.0
train__c03__user9__3-1-2,3,Take_off_clothes,user9,3-1-2,train,59,59,2,57,0,1,1.0
train__c03__user9__3-1-3,3,Take_off_clothes,user9,3-1-3,train,28,28,28,0,0,1,1.0
train__c04__user16__2-2-1,4,Wipe_hands,user16,2-2-1,train,34,34,34,0,0,1,1.0
train__c04__user16__2-2-2,4,Wipe_hands,user16,2-2-2,train,31,31,31,0,0,1,1.0
train__c04__user16__2-2-3,4,Wipe_hands,user16,2-2-3,train,24,24,24,0,0,1,1.0
train__c04__user17__1-1-1,4,Wipe_hands,user17,1-1-1,validation,45,45,45,0,0,1,1.0
train__c04__user17__1-1-2,4,Wipe_hands,user17,1-1-2,validation,28,28,28,0,0,1,1.0
train__c04__user17__1-1-3,4,Wipe_hands,user17,1-1-3,validation,24,24,24,0,0,1,1.0
train__c04__user17__7-2-1,4,Wipe_hands,user17,7-2-1,validation,46,46,46,0,0,1,1.0
train__c04__user17__7-2-2,4,Wipe_hands,user17,7-2-2,validation,31,31,31,0,0,1,1.0
train__c04__user17__7-2-3,4,Wipe_hands,user17,7-2-3,validation,19,19,19,0,0,1,1.0
train__c04__user18__1-1-1,4,Wipe_hands,user18,1-1-1,train,40,40,40,0,0,1,1.0
train__c04__user18__1-1-2,4,Wipe_hands,user18,1-1-2,train,25,25,25,0,0,1,1.0
train__c04__user18__1-1-3,4,Wipe_hands,user18,1-1-3,train,24,24,24,0,0,1,1.0
train__c04__user18__7-1-1,4,Wipe_hands,user18,7-1-1,train,20,20,20,0,0,1,1.0
train__c04__user18__7-1-2,4,Wipe_hands,user18,7-1-2,train,13,13,13,0,0,1,1.0
train__c04__user18__7-1-3,4,Wipe_hands,user18,7-1-3,train,5,5,5,0,0,1,1.0
train__c04__user19__1-1-1,4,Wipe_hands,user19,1-1-1,train,21,21,21,0,0,1,1.0
train__c04__user19__1-1-2,4,Wipe_hands,user19,1-1-2,train,18,18,18,0,0,1,1.0
train__c04__user19__1-1-3,4,Wipe_hands,user19,1-1-3,train,20,20,20,0,0,1,1.0
train__c04__user19__5-2-1,4,Wipe_hands,user19,5-2-1,train,35,35,35,0,0,1,1.0
train__c04__user19__5-2-2,4,Wipe_hands,user19,5-2-2,train,30,30,30,0,0,1,1.0
train__c04__user19__5-2-3,4,Wipe_hands,user19,5-2-3,train,23,23,23,0,0,1,1.0
train__c04__user1__1-1-1,4,Wipe_hands,user1,1-1-1,train,46,46,46,0,0,1,1.0
train__c04__user20__6-2-1,4,Wipe_hands,user20,6-2-1,train,31,31,31,0,0,1,1.0
train__c04__user20__6-2-2,4,Wipe_hands,user20,6-2-2,train,18,18,18,0,0,1,1.0
train__c04__user20__6-2-3,4,Wipe_hands,user20,6-2-3,train,39,39,39,0,0,1,1.0
train__c04__user21__1-1-1,4,Wipe_hands,user21,1-1-1,train,27,27,27,0,0,1,1.0
train__c04__user21__1-1-2,4,Wipe_hands,user21,1-1-2,train,29,29,29,0,0,1,1.0
train__c04__user21__1-1-3,4,Wipe_hands,user21,1-1-3,train,13,13,13,0,0,1,1.0
train__c04__user21__7-2-1,4,Wipe_hands,user21,7-2-1,train,23,23,23,0,0,1,1.0
train__c04__user21__7-2-2,4,Wipe_hands,user21,7-2-2,train,13,13,13,0,0,1,1.0
train__c04__user21__7-2-3,4,Wipe_hands,user21,7-2-3,train,24,24,21,3,0,1,1.0
train__c04__user22__1-1-2,4,Wipe_hands,user22,1-1-2,train,16,16,16,0,0,1,1.0
train__c04__user22__1-1-3,4,Wipe_hands,user22,1-1-3,train,9,9,9,0,0,1,1.0
train__c04__user22__6-2-1,4,Wipe_hands,user22,6-2-1,train,29,29,29,0,0,1,1.0
train__c04__user22__6-2-2,4,Wipe_hands,user22,6-2-2,train,24,24,24,0,0,1,1.0
train__c04__user22__6-2-3,4,Wipe_hands,user22,6-2-3,train,6,6,6,0,0,1,1.0
train__c04__user23__1-1-1,4,Wipe_hands,user23,1-1-1,validation,27,27,27,0,0,1,1.0
train__c04__user23__1-1-2,4,Wipe_hands,user23,1-1-2,validation,15,15,15,0,0,1,1.0
train__c04__user23__1-1-3,4,Wipe_hands,user23,1-1-3,validation,21,21,21,0,0,1,1.0
train__c04__user24__6-2-1,4,Wipe_hands,user24,6-2-1,validation,28,28,28,0,0,1,1.0
train__c04__user24__6-2-2,4,Wipe_hands,user24,6-2-2,validation,20,20,20,0,0,1,1.0
train__c04__user24__6-2-3,4,Wipe_hands,user24,6-2-3,validation,24,24,24,0,0,1,1.0
train__c04__user2__2-2-1,4,Wipe_hands,user2,2-2-1,train,34,34,34,0,0,1,1.0
train__c04__user2__2-2-2,4,Wipe_hands,user2,2-2-2,train,37,37,37,0,0,1,1.0
train__c04__user2__2-2-3,4,Wipe_hands,user2,2-2-3,train,8,8,8,0,0,1,1.0
train__c04__user2__7-3-3,4,Wipe_hands,user2,7-3-3,train,29,29,29,0,0,1,1.0
train__c04__user4__1-1-1,4,Wipe_hands,user4,1-1-1,validation,23,23,23,0,0,1,1.0
train__c04__user4__1-1-2,4,Wipe_hands,user4,1-1-2,validation,22,22,22,0,0,1,1.0
train__c04__user4__1-1-3,4,Wipe_hands,user4,1-1-3,validation,19,19,19,0,0,1,1.0
train__c04__user6__2-2-1,4,Wipe_hands,user6,2-2-1,train,20,20,0,20,0,1,1.0
train__c04__user6__2-2-2,4,Wipe_hands,user6,2-2-2,train,24,24,0,24,0,1,1.0
train__c04__user6__2-2-3,4,Wipe_hands,user6,2-2-3,train,11,11,0,11,0,1,1.0
train__c04__user7__1-1-1,4,Wipe_hands,user7,1-1-1,train,23,23,0,23,0,1,1.0
train__c04__user7__1-1-2,4,Wipe_hands,user7,1-1-2,train,10,10,0,10,0,1,1.0
train__c04__user7__1-1-3,4,Wipe_hands,user7,1-1-3,train,14,13,0,13,1,1,0.9285714285714286
train__c04__user7__7-2-1,4,Wipe_hands,user7,7-2-1,train,29,29,29,0,0,1,1.0
train__c04__user7__7-2-2,4,Wipe_hands,user7,7-2-2,train,19,19,19,0,0,1,1.0
train__c04__user7__7-2-3,4,Wipe_hands,user7,7-2-3,train,8,8,7,1,0,1,1.0
train__c04__user8__1-1-1,4,Wipe_hands,user8,1-1-1,train,29,17,0,17,12,6,0.5862068965517241
train__c04__user8__1-1-2,4,Wipe_hands,user8,1-1-2,train,25,11,0,11,14,5,0.44
train__c04__user8__1-1-3,4,Wipe_hands,user8,1-1-3,train,21,13,0,13,8,4,0.6190476190476191
train__c04__user8__7-1-1,4,Wipe_hands,user8,7-1-1,train,26,10,0,10,16,3,0.38461538461538464
train__c04__user8__7-1-2,4,Wipe_hands,user8,7-1-2,train,30,12,0,12,18,6,0.4
train__c04__user8__7-1-3,4,Wipe_hands,user8,7-1-3,train,18,5,3,2,13,3,0.2777777777777778
train__c04__user9__1-1-1,4,Wipe_hands,user9,1-1-1,train,13,13,0,13,0,1,1.0
train__c04__user9__1-1-2,4,Wipe_hands,user9,1-1-2,train,11,11,0,11,0,1,1.0
train__c04__user9__1-1-3,4,Wipe_hands,user9,1-1-3,train,16,16,0,16,0,1,1.0
train__c04__user9__5-2-1,4,Wipe_hands,user9,5-2-1,train,29,29,29,0,0,1,1.0
train__c04__user9__5-2-2,4,Wipe_hands,user9,5-2-2,train,21,21,21,0,0,1,1.0
train__c04__user9__5-2-3,4,Wipe_hands,user9,5-2-3,train,19,19,19,0,0,1,1.0
train__c05__user17__1-1-1,5,Put_on_clothes,user17,1-1-1,validation,90,86,86,0,4,5,0.9555555555555556
train__c05__user17__1-1-2,5,Put_on_clothes,user17,1-1-2,validation,60,60,60,0,0,1,1.0
train__c05__user17__1-1-3,5,Put_on_clothes,user17,1-1-3,validation,55,52,52,0,3,4,0.9454545454545454
train__c05__user17__6-1-1,5,Put_on_clothes,user17,6-1-1,validation,56,56,56,0,0,1,1.0
train__c05__user17__6-1-2,5,Put_on_clothes,user17,6-1-2,validation,54,52,52,0,2,2,0.9629629629629629
train__c05__user17__6-1-3,5,Put_on_clothes,user17,6-1-3,validation,66,66,66,0,0,1,1.0
train__c05__user18__6-1-1,5,Put_on_clothes,user18,6-1-1,train,43,42,42,0,1,2,0.9767441860465116
train__c05__user18__6-1-2,5,Put_on_clothes,user18,6-1-2,train,47,47,0,47,0,1,1.0
train__c05__user18__6-1-3,5,Put_on_clothes,user18,6-1-3,train,39,39,35,4,0,1,1.0
train__c05__user18__7-1-1,5,Put_on_clothes,user18,7-1-1,train,56,56,55,1,0,1,1.0
train__c05__user18__7-1-2,5,Put_on_clothes,user18,7-1-2,train,39,39,38,1,0,1,1.0
train__c05__user18__7-1-3,5,Put_on_clothes,user18,7-1-3,train,42,42,42,0,0,1,1.0
