sample_id,class_id,action_name,user_id,trial_id,depth_color_path,imu_path,ir_path,radar_path,skeleton_path,thermal_path
train__c00__user8__1-1-2,0,Wash_face,user8,1-1-2,Depth_Color/0_Wash_face/user8/1-1-2,IMU/0_Wash_face/user8/1-1-2,IR/0_Wash_face/user8/1-1-2,Radar/0_Wash_face/user8/1-1-2,Skeleton/0_Wash_face/user8/1-1-2,
train__c00__user8__1-1-3,0,Wash_face,user8,1-1-3,Depth_Color/0_Wash_face/user8/1-1-3,IMU/0_Wash_face/user8/1-1-3,IR/0_Wash_face/user8/1-1-3,Radar/0_Wash_face/user8/1-1-3,Skeleton/0_Wash_face/user8/1-1-3,
train__c00__user8__7-1-1,0,Wash_face,user8,7-1-1,Depth_Color/0_Wash_face/user8/7-1-1,IMU/0_Wash_face/user8/7-1-1,IR/0_Wash_face/user8/7-1-1,Radar/0_Wash_face/user8/7-1-1,Skeleton/0_Wash_face/user8/7-1-1,Thermal/0_Wash_face/user8/7-1-1
train__c00__user8__7-1-2,0,Wash_face,user8,7-1-2,Depth_Color/0_Wash_face/user8/7-1-2,IMU/0_Wash_face/user8/7-1-2,IR/0_Wash_face/user8/7-1-2,Radar/0_Wash_face/user8/7-1-2,Skeleton/0_Wash_face/user8/7-1-2,Thermal/0_Wash_face/user8/7-1-2
train__c00__user8__7-1-3,0,Wash_face,user8,7-1-3,Depth_Color/0_Wash_face/user8/7-1-3,IMU/0_Wash_face/user8/7-1-3,IR/0_Wash_face/user8/7-1-3,Radar/0_Wash_face/user8/7-1-3,Skeleton/0_Wash_face/user8/7-1-3,Thermal/0_Wash_face/user8/7-1-3
train__c00__user16__1-1-1,0,Wash_face,user16,1-1-1,Depth_Color/0_Wash_face/user16/1-1-1,IMU/0_Wash_face/user16/1-1-1,IR/0_Wash_face/user16/1-1-1,Radar/0_Wash_face/user16/1-1-1,Skeleton/0_Wash_face/user16/1-1-1,Thermal/0_Wash_face/user16/1-1-1
train__c00__user16__1-1-2,0,Wash_face,user16,1-1-2,Depth_Color/0_Wash_face/user16/1-1-2,IMU/0_Wash_face/user16/1-1-2,IR/0_Wash_face/user16/1-1-2,Radar/0_Wash_face/user16/1-1-2,Skeleton/0_Wash_face/user16/1-1-2,Thermal/0_Wash_face/user16/1-1-2
train__c00__user16__1-1-3,0,Wash_face,user16,1-1-3,Depth_Color/0_Wash_face/user16/1-1-3,IMU/0_Wash_face/user16/1-1-3,IR/0_Wash_face/user16/1-1-3,Radar/0_Wash_face/user16/1-1-3,Skeleton/0_Wash_face/user16/1-1-3,Thermal/0_Wash_face/user16/1-1-3
train__c00__user18__7-1-1,0,Wash_face,user18,7-1-1,Depth_Color/0_Wash_face/user18/7-1-1,IMU/0_Wash_face/user18/7-1-1,IR/0_Wash_face/user18/7-1-1,Radar/0_Wash_face/user18/7-1-1,Skeleton/0_Wash_face/user18/7-1-1,Thermal/0_Wash_face/user18/7-1-1
train__c00__user18__7-1-2,0,Wash_face,user18,7-1-2,Depth_Color/0_Wash_face/user18/7-1-2,IMU/0_Wash_face/user18/7-1-2,IR/0_Wash_face/user18/7-1-2,Radar/0_Wash_face/user18/7-1-2,Skeleton/0_Wash_face/user18/7-1-2,Thermal/0_Wash_face/user18/7-1-2
train__c00__user18__7-1-3,0,Wash_face,user18,7-1-3,Depth_Color/0_Wash_face/user18/7-1-3,IMU/0_Wash_face/user18/7-1-3,IR/0_Wash_face/user18/7-1-3,Radar/0_Wash_face/user18/7-1-3,Skeleton/0_Wash_face/user18/7-1-3,Thermal/0_Wash_face/user18/7-1-3
train__c00__user20__4-2-1,0,Wash_face,user20,4-2-1,Depth_Color/0_Wash_face/user20/4-2-1,IMU/0_Wash_face/user20/4-2-1,IR/0_Wash_face/user20/4-2-1,Radar/0_Wash_face/user20/4-2-1,Skeleton/0_Wash_face/user20/4-2-1,Thermal/0_Wash_face/user20/4-2-1
train__c00__user20__4-2-2,0,Wash_face,user20,4-2-2,Depth_Color/0_Wash_face/user20/4-2-2,IMU/0_Wash_face/user20/4-2-2,IR/0_Wash_face/user20/4-2-2,Radar/0_Wash_face/user20/4-2-2,Skeleton/0_Wash_face/user20/4-2-2,Thermal/0_Wash_face/user20/4-2-2
train__c00__user20__4-2-3,0,Wash_face,user20,4-2-3,Depth_Color/0_Wash_face/user20/4-2-3,IMU/0_Wash_face/user20/4-2-3,IR/0_Wash_face/user20/4-2-3,Radar/0_Wash_face/user20/4-2-3,Skeleton/0_Wash_face/user20/4-2-3,Thermal/0_Wash_face/user20/4-2-3
train__c00__user21__1-1-1,0,Wash_face,user21,1-1-1,Depth_Color/0_Wash_face/user21/1-1-1,IMU/0_Wash_face/user21/1-1-1,IR/0_Wash_face/user21/1-1-1,Radar/0_Wash_face/user21/1-1-1,Skeleton/0_Wash_face/user21/1-1-1,Thermal/0_Wash_face/user21/1-1-1
train__c00__user21__1-1-2,0,Wash_face,user21,1-1-2,Depth_Color/0_Wash_face/user21/1-1-2,IMU/0_Wash_face/user21/1-1-2,IR/0_Wash_face/user21/1-1-2,Radar/0_Wash_face/user21/1-1-2,Skeleton/0_Wash_face/user21/1-1-2,Thermal/0_Wash_face/user21/1-1-2
train__c00__user21__1-1-3,0,Wash_face,user21,1-1-3,Depth_Color/0_Wash_face/user21/1-1-3,IMU/0_Wash_face/user21/1-1-3,IR/0_Wash_face/user21/1-1-3,Radar/0_Wash_face/user21/1-1-3,Skeleton/0_Wash_face/user21/1-1-3,Thermal/0_Wash_face/user21/1-1-3
train__c00__user21__4-2-1,0,Wash_face,user21,4-2-1,Depth_Color/0_Wash_face/user21/4-2-1,IMU/0_Wash_face/user21/4-2-1,IR/0_Wash_face/user21/4-2-1,Radar/0_Wash_face/user21/4-2-1,Skeleton/0_Wash_face/user21/4-2-1,Thermal/0_Wash_face/user21/4-2-1
train__c00__user21__4-2-2,0,Wash_face,user21,4-2-2,Depth_Color/0_Wash_face/user21/4-2-2,IMU/0_Wash_face/user21/4-2-2,IR/0_Wash_face/user21/4-2-2,Radar/0_Wash_face/user21/4-2-2,Skeleton/0_Wash_face/user21/4-2-2,Thermal/0_Wash_face/user21/4-2-2
train__c00__user21__4-2-3,0,Wash_face,user21,4-2-3,Depth_Color/0_Wash_face/user21/4-2-3,IMU/0_Wash_face/user21/4-2-3,IR/0_Wash_face/user21/4-2-3,Radar/0_Wash_face/user21/4-2-3,Skeleton/0_Wash_face/user21/4-2-3,Thermal/0_Wash_face/user21/4-2-3
train__c00__user22__1-1-2,0,Wash_face,user22,1-1-2,Depth_Color/0_Wash_face/user22/1-1-2,IMU/0_Wash_face/user22/1-1-2,IR/0_Wash_face/user22/1-1-2,Radar/0_Wash_face/user22/1-1-2,Skeleton/0_Wash_face/user22/1-1-2,Thermal/0_Wash_face/user22/1-1-2
train__c00__user22__1-1-3,0,Wash_face,user22,1-1-3,Depth_Color/0_Wash_face/user22/1-1-3,IMU/0_Wash_face/user22/1-1-3,IR/0_Wash_face/user22/1-1-3,Radar/0_Wash_face/user22/1-1-3,Skeleton/0_Wash_face/user22/1-1-3,Thermal/0_Wash_face/user22/1-1-3
train__c00__user22__2-2-1,0,Wash_face,user22,2-2-1,Depth_Color/0_Wash_face/user22/2-2-1,IMU/0_Wash_face/user22/2-2-1,IR/0_Wash_face/user22/2-2-1,Radar/0_Wash_face/user22/2-2-1,Skeleton/0_Wash_face/user22/2-2-1,Thermal/0_Wash_face/user22/2-2-1
train__c00__user22__2-2-2,0,Wash_face,user22,2-2-2,Depth_Color/0_Wash_face/user22/2-2-2,IMU/0_Wash_face/user22/2-2-2,IR/0_Wash_face/user22/2-2-2,Radar/0_Wash_face/user22/2-2-2,Skeleton/0_Wash_face/user22/2-2-2,Thermal/0_Wash_face/user22/2-2-2
train__c00__user22__2-2-3,0,Wash_face,user22,2-2-3,Depth_Color/0_Wash_face/user22/2-2-3,IMU/0_Wash_face/user22/2-2-3,IR/0_Wash_face/user22/2-2-3,Radar/0_Wash_face/user22/2-2-3,Skeleton/0_Wash_face/user22/2-2-3,Thermal/0_Wash_face/user22/2-2-3
train__c00__user23__1-1-1,0,Wash_face,user23,1-1-1,Depth_Color/0_Wash_face/user23/1-1-1,IMU/0_Wash_face/user23/1-1-1,IR/0_Wash_face/user23/1-1-1,Radar/0_Wash_face/user23/1-1-1,Skeleton/0_Wash_face/user23/1-1-1,Thermal/0_Wash_face/user23/1-1-1
train__c00__user23__1-1-2,0,Wash_face,user23,1-1-2,Depth_Color/0_Wash_face/user23/1-1-2,IMU/0_Wash_face/user23/1-1-2,IR/0_Wash_face/user23/1-1-2,Radar/0_Wash_face/user23/1-1-2,Skeleton/0_Wash_face/user23/1-1-2,Thermal/0_Wash_face/user23/1-1-2
train__c00__user23__1-1-3,0,Wash_face,user23,1-1-3,Depth_Color/0_Wash_face/user23/1-1-3,IMU/0_Wash_face/user23/1-1-3,IR/0_Wash_face/user23/1-1-3,Radar/0_Wash_face/user23/1-1-3,Skeleton/0_Wash_face/user23/1-1-3,Thermal/0_Wash_face/user23/1-1-3
train__c00__user24__6-2-1,0,Wash_face,user24,6-2-1,Depth_Color/0_Wash_face/user24/6-2-1,IMU/0_Wash_face/user24/6-2-1,IR/0_Wash_face/user24/6-2-1,Radar/0_Wash_face/user24/6-2-1,Skeleton/0_Wash_face/user24/6-2-1,Thermal/0_Wash_face/user24/6-2-1
train__c00__user24__6-2-2,0,Wash_face,user24,6-2-2,Depth_Color/0_Wash_face/user24/6-2-2,IMU/0_Wash_face/user24/6-2-2,IR/0_Wash_face/user24/6-2-2,Radar/0_Wash_face/user24/6-2-2,Skeleton/0_Wash_face/user24/6-2-2,Thermal/0_Wash_face/user24/6-2-2
train__c00__user24__6-2-3,0,Wash_face,user24,6-2-3,Depth_Color/0_Wash_face/user24/6-2-3,IMU/0_Wash_face/user24/6-2-3,IR/0_Wash_face/user24/6-2-3,Radar/0_Wash_face/user24/6-2-3,Skeleton/0_Wash_face/user24/6-2-3,Thermal/0_Wash_face/user24/6-2-3
train__c00__user24__7-1-1,0,Wash_face,user24,7-1-1,Depth_Color/0_Wash_face/user24/7-1-1,IMU/0_Wash_face/user24/7-1-1,IR/0_Wash_face/user24/7-1-1,Radar/0_Wash_face/user24/7-1-1,Skeleton/0_Wash_face/user24/7-1-1,Thermal/0_Wash_face/user24/7-1-1
train__c00__user24__7-1-2,0,Wash_face,user24,7-1-2,Depth_Color/0_Wash_face/user24/7-1-2,IMU/0_Wash_face/user24/7-1-2,IR/0_Wash_face/user24/7-1-2,Radar/0_Wash_face/user24/7-1-2,Skeleton/0_Wash_face/user24/7-1-2,Thermal/0_Wash_face/user24/7-1-2
train__c00__user24__7-1-3,0,Wash_face,user24,7-1-3,Depth_Color/0_Wash_face/user24/7-1-3,IMU/0_Wash_face/user24/7-1-3,IR/0_Wash_face/user24/7-1-3,Radar/0_Wash_face/user24/7-1-3,Skeleton/0_Wash_face/user24/7-1-3,Thermal/0_Wash_face/user24/7-1-3
train__c01__user6__1-1-1,1,Brush_teeth,user6,1-1-1,Depth_Color/1_Brush_teeth/user6/1-1-1,IMU/1_Brush_teeth/user6/1-1-1,IR/1_Brush_teeth/user6/1-1-1,Radar/1_Brush_teeth/user6/1-1-1,Skeleton/1_Brush_teeth/user6/1-1-1,Thermal/1_Brush_teeth/user6/1-1-1
train__c01__user6__1-1-2,1,Brush_teeth,user6,1-1-2,Depth_Color/1_Brush_teeth/user6/1-1-2,IMU/1_Brush_teeth/user6/1-1-2,IR/1_Brush_teeth/user6/1-1-2,Radar/1_Brush_teeth/user6/1-1-2,Skeleton/1_Brush_teeth/user6/1-1-2,Thermal/1_Brush_teeth/user6/1-1-2
train__c01__user6__1-1-3,1,Brush_teeth,user6,1-1-3,Depth_Color/1_Brush_teeth/user6/1-1-3,IMU/1_Brush_teeth/user6/1-1-3,IR/1_Brush_teeth/user6/1-1-3,Radar/1_Brush_teeth/user6/1-1-3,Skeleton/1_Brush_teeth/user6/1-1-3,Thermal/1_Brush_teeth/user6/1-1-3
train__c01__user7__1-1-1,1,Brush_teeth,user7,1-1-1,Depth_Color/1_Brush_teeth/user7/1-1-1,IMU/1_Brush_teeth/user7/1-1-1,IR/1_Brush_teeth/user7/1-1-1,Radar/1_Brush_teeth/user7/1-1-1,Skeleton/1_Brush_teeth/user7/1-1-1,Thermal/1_Brush_teeth/user7/1-1-1
train__c01__user7__1-1-2,1,Brush_teeth,user7,1-1-2,Depth_Color/1_Brush_teeth/user7/1-1-2,IMU/1_Brush_teeth/user7/1-1-2,IR/1_Brush_teeth/user7/1-1-2,Radar/1_Brush_teeth/user7/1-1-2,Skeleton/1_Brush_teeth/user7/1-1-2,Thermal/1_Brush_teeth/user7/1-1-2
train__c01__user7__1-1-3,1,Brush_teeth,user7,1-1-3,Depth_Color/1_Brush_teeth/user7/1-1-3,IMU/1_Brush_teeth/user7/1-1-3,IR/1_Brush_teeth/user7/1-1-3,Radar/1_Brush_teeth/user7/1-1-3,Skeleton/1_Brush_teeth/user7/1-1-3,Thermal/1_Brush_teeth/user7/1-1-3
train__c01__user8__1-1-1,1,Brush_teeth,user8,1-1-1,Depth_Color/1_Brush_teeth/user8/1-1-1,IMU/1_Brush_teeth/user8/1-1-1,IR/1_Brush_teeth/user8/1-1-1,Radar/1_Brush_teeth/user8/1-1-1,Skeleton/1_Brush_teeth/user8/1-1-1,Thermal/1_Brush_teeth/user8/1-1-1
train__c01__user8__1-1-2,1,Brush_teeth,user8,1-1-2,Depth_Color/1_Brush_teeth/user8/1-1-2,IMU/1_Brush_teeth/user8/1-1-2,IR/1_Brush_teeth/user8/1-1-2,Radar/1_Brush_teeth/user8/1-1-2,Skeleton/1_Brush_teeth/user8/1-1-2,Thermal/1_Brush_teeth/user8/1-1-2
train__c01__user8__1-1-3,1,Brush_teeth,user8,1-1-3,Depth_Color/1_Brush_teeth/user8/1-1-3,IMU/1_Brush_teeth/user8/1-1-3,IR/1_Brush_teeth/user8/1-1-3,Radar/1_Brush_teeth/user8/1-1-3,Skeleton/1_Brush_teeth/user8/1-1-3,Thermal/1_Brush_teeth/user8/1-1-3
train__c01__user8__7-1-1,1,Brush_teeth,user8,7-1-1,Depth_Color/1_Brush_teeth/user8/7-1-1,IMU/1_Brush_teeth/user8/7-1-1,IR/1_Brush_teeth/user8/7-1-1,Radar/1_Brush_teeth/user8/7-1-1,Skeleton/1_Brush_teeth/user8/7-1-1,Thermal/1_Brush_teeth/user8/7-1-1
train__c01__user8__7-1-2,1,Brush_teeth,user8,7-1-2,Depth_Color/1_Brush_teeth/user8/7-1-2,IMU/1_Brush_teeth/user8/7-1-2,IR/1_Brush_teeth/user8/7-1-2,Radar/1_Brush_teeth/user8/7-1-2,Skeleton/1_Brush_teeth/user8/7-1-2,Thermal/1_Brush_teeth/user8/7-1-2
train__c01__user8__7-1-3,1,Brush_teeth,user8,7-1-3,Depth_Color/1_Brush_teeth/user8/7-1-3,IMU/1_Brush_teeth/user8/7-1-3,IR/1_Brush_teeth/user8/7-1-3,Radar/1_Brush_teeth/user8/7-1-3,Skeleton/1_Brush_teeth/user8/7-1-3,Thermal/1_Brush_teeth/user8/7-1-3
train__c01__user9__1-1-1,1,Brush_teeth,user9,1-1-1,Depth_Color/1_Brush_teeth/user9/1-1-1,IMU/1_Brush_teeth/user9/1-1-1,IR/1_Brush_teeth/user9/1-1-1,Radar/1_Brush_teeth/user9/1-1-1,Skeleton/1_Brush_teeth/user9/1-1-1,Thermal/1_Brush_teeth/user9/1-1-1
train__c01__user16__1-1-1,1,Brush_teeth,user16,1-1-1,Depth_Color/1_Brush_teeth/user16/1-1-1,IMU/1_Brush_teeth/user16/1-1-1,IR/1_Brush_teeth/user16/1-1-1,Radar/1_Brush_teeth/user16/1-1-1,Skeleton/1_Brush_teeth/user16/1-1-1,Thermal/1_Brush_teeth/user16/1-1-1
train__c01__user16__1-1-2,1,Brush_teeth,user16,1-1-2,Depth_Color/1_Brush_teeth/user16/1-1-2,IMU/1_Brush_teeth/user16/1-1-2,IR/1_Brush_teeth/user16/1-1-2,Radar/1_Brush_teeth/user16/1-1-2,Skeleton/1_Brush_teeth/user16/1-1-2,Thermal/1_Brush_teeth/user16/1-1-2
train__c01__user16__1-1-3,1,Brush_teeth,user16,1-1-3,Depth_Color/1_Brush_teeth/user16/1-1-3,IMU/1_Brush_teeth/user16/1-1-3,IR/1_Brush_teeth/user16/1-1-3,Radar/1_Brush_teeth/user16/1-1-3,Skeleton/1_Brush_teeth/user16/1-1-3,Thermal/1_Brush_teeth/user16/1-1-3
train__c01__user17__1-1-1,1,Brush_teeth,user17,1-1-1,Depth_Color/1_Brush_teeth/user17/1-1-1,IMU/1_Brush_teeth/user17/1-1-1,IR/1_Brush_teeth/user17/1-1-1,Radar/1_Brush_teeth/user17/1-1-1,Skeleton/1_Brush_teeth/user17/1-1-1,Thermal/1_Brush_teeth/user17/1-1-1
train__c01__user17__1-1-2,1,Brush_teeth,user17,1-1-2,Depth_Color/1_Brush_teeth/user17/1-1-2,IMU/1_Brush_teeth/user17/1-1-2,IR/1_Brush_teeth/user17/1-1-2,Radar/1_Brush_teeth/user17/1-1-2,Skeleton/1_Brush_teeth/user17/1-1-2,Thermal/1_Brush_teeth/user17/1-1-2
train__c01__user17__1-1-3,1,Brush_teeth,user17,1-1-3,Depth_Color/1_Brush_teeth/user17/1-1-3,IMU/1_Brush_teeth/user17/1-1-3,IR/1_Brush_teeth/user17/1-1-3,Radar/1_Brush_teeth/user17/1-1-3,Skeleton/1_Brush_teeth/user17/1-1-3,Thermal/1_Brush_teeth/user17/1-1-3
train__c01__user18__1-1-1,1,Brush_teeth,user18,1-1-1,Depth_Color/1_Brush_teeth/user18/1-1-1,IMU/1_Brush_teeth/user18/1-1-1,IR/1_Brush_teeth/user18/1-1-1,Radar/1_Brush_teeth/user18/1-1-1,Skeleton/1_Brush_teeth/user18/1-1-1,Thermal/1_Brush_teeth/user18/1-1-1
train__c01__user18__1-1-2,1,Brush_teeth,user18,1-1-2,Depth_Color/1_Brush_teeth/user18/1-1-2,IMU/1_Brush_teeth/user18/1-1-2,IR/1_Brush_teeth/user18/1-1-2,Radar/1_Brush_teeth/user18/1-1-2,Skeleton/1_Brush_teeth/user18/1-1-2,Thermal/1_Brush_teeth/user18/1-1-2
train__c01__user18__1-1-3,1,Brush_teeth,user18,1-1-3,Depth_Color/1_Brush_teeth/user18/1-1-3,IMU/1_Brush_teeth/user18/1-1-3,IR/1_Brush_teeth/user18/1-1-3,Radar/1_Brush_teeth/user18/1-1-3,Skeleton/1_Brush_teeth/user18/1-1-3,Thermal/1_Brush_teeth/user18/1-1-3
train__c01__user18__7-1-1,1,Brush_teeth,user18,7-1-1,Depth_Color/1_Brush_teeth/user18/7-1-1,IMU/1_Brush_teeth/user18/7-1-1,IR/1_Brush_teeth/user18/7-1-1,Radar/1_Brush_teeth/user18/7-1-1,Skeleton/1_Brush_teeth/user18/7-1-1,Thermal/1_Brush_teeth/user18/7-1-1
train__c01__user18__7-1-2,1,Brush_teeth,user18,7-1-2,Depth_Color/1_Brush_teeth/user18/7-1-2,IMU/1_Brush_teeth/user18/7-1-2,IR/1_Brush_teeth/user18/7-1-2,Radar/1_Brush_teeth/user18/7-1-2,Skeleton/1_Brush_teeth/user18/7-1-2,Thermal/1_Brush_teeth/user18/7-1-2
train__c01__user18__7-1-3,1,Brush_teeth,user18,7-1-3,Depth_Color/1_Brush_teeth/user18/7-1-3,IMU/1_Brush_teeth/user18/7-1-3,IR/1_Brush_teeth/user18/7-1-3,Radar/1_Brush_teeth/user18/7-1-3,Skeleton/1_Brush_teeth/user18/7-1-3,Thermal/1_Brush_teeth/user18/7-1-3
train__c01__user19__1-1-1,1,Brush_teeth,user19,1-1-1,Depth_Color/1_Brush_teeth/user19/1-1-1,IMU/1_Brush_teeth/user19/1-1-1,IR/1_Brush_teeth/user19/1-1-1,Radar/1_Brush_teeth/user19/1-1-1,Skeleton/1_Brush_teeth/user19/1-1-1,Thermal/1_Brush_teeth/user19/1-1-1
train__c01__user19__1-1-2,1,Brush_teeth,user19,1-1-2,Depth_Color/1_Brush_teeth/user19/1-1-2,IMU/1_Brush_teeth/user19/1-1-2,IR/1_Brush_teeth/user19/1-1-2,Radar/1_Brush_teeth/user19/1-1-2,Skeleton/1_Brush_teeth/user19/1-1-2,Thermal/1_Brush_teeth/user19/1-1-2
train__c01__user19__1-1-3,1,Brush_teeth,user19,1-1-3,Depth_Color/1_Brush_teeth/user19/1-1-3,IMU/1_Brush_teeth/user19/1-1-3,IR/1_Brush_teeth/user19/1-1-3,Radar/1_Brush_teeth/user19/1-1-3,Skeleton/1_Brush_teeth/user19/1-1-3,Thermal/1_Brush_teeth/user19/1-1-3
train__c01__user20__4-2-1,1,Brush_teeth,user20,4-2-1,Depth_Color/1_Brush_teeth/user20/4-2-1,IMU/1_Brush_teeth/user20/4-2-1,IR/1_Brush_teeth/user20/4-2-1,Radar/1_Brush_teeth/user20/4-2-1,Skeleton/1_Brush_teeth/user20/4-2-1,Thermal/1_Brush_teeth/user20/4-2-1
train__c01__user20__4-2-2,1,Brush_teeth,user20,4-2-2,Depth_Color/1_Brush_teeth/user20/4-2-2,IMU/1_Brush_teeth/user20/4-2-2,IR/1_Brush_teeth/user20/4-2-2,Radar/1_Brush_teeth/user20/4-2-2,Skeleton/1_Brush_teeth/user20/4-2-2,Thermal/1_Brush_teeth/user20/4-2-2
train__c01__user20__4-2-3,1,Brush_teeth,user20,4-2-3,Depth_Color/1_Brush_teeth/user20/4-2-3,IMU/1_Brush_teeth/user20/4-2-3,IR/1_Brush_teeth/user20/4-2-3,Radar/1_Brush_teeth/user20/4-2-3,Skeleton/1_Brush_teeth/user20/4-2-3,Thermal/1_Brush_teeth/user20/4-2-3
train__c01__user21__4-2-1,1,Brush_teeth,user21,4-2-1,Depth_Color/1_Brush_teeth/user21/4-2-1,IMU/1_Brush_teeth/user21/4-2-1,IR/1_Brush_teeth/user21/4-2-1,Radar/1_Brush_teeth/user21/4-2-1,Skeleton/1_Brush_teeth/user21/4-2-1,Thermal/1_Brush_teeth/user21/4-2-1
train__c01__user21__4-2-2,1,Brush_teeth,user21,4-2-2,Depth_Color/1_Brush_teeth/user21/4-2-2,IMU/1_Brush_teeth/user21/4-2-2,IR/1_Brush_teeth/user21/4-2-2,Radar/1_Brush_teeth/user21/4-2-2,Skeleton/1_Brush_teeth/user21/4-2-2,Thermal/1_Brush_teeth/user21/4-2-2
train__c01__user21__4-2-3,1,Brush_teeth,user21,4-2-3,Depth_Color/1_Brush_teeth/user21/4-2-3,IMU/1_Brush_teeth/user21/4-2-3,IR/1_Brush_teeth/user21/4-2-3,Radar/1_Brush_teeth/user21/4-2-3,Skeleton/1_Brush_teeth/user21/4-2-3,Thermal/1_Brush_teeth/user21/4-2-3
train__c01__user22__1-1-2,1,Brush_teeth,user22,1-1-2,Depth_Color/1_Brush_teeth/user22/1-1-2,IMU/1_Brush_teeth/user22/1-1-2,IR/1_Brush_teeth/user22/1-1-2,Radar/1_Brush_teeth/user22/1-1-2,Skeleton/1_Brush_teeth/user22/1-1-2,Thermal/1_Brush_teeth/user22/1-1-2
train__c01__user22__1-1-3,1,Brush_teeth,user22,1-1-3,Depth_Color/1_Brush_teeth/user22/1-1-3,IMU/1_Brush_teeth/user22/1-1-3,IR/1_Brush_teeth/user22/1-1-3,Radar/1_Brush_teeth/user22/1-1-3,Skeleton/1_Brush_teeth/user22/1-1-3,Thermal/1_Brush_teeth/user22/1-1-3
train__c01__user22__2-2-1,1,Brush_teeth,user22,2-2-1,Depth_Color/1_Brush_teeth/user22/2-2-1,IMU/1_Brush_teeth/user22/2-2-1,IR/1_Brush_teeth/user22/2-2-1,Radar/1_Brush_teeth/user22/2-2-1,Skeleton/1_Brush_teeth/user22/2-2-1,Thermal/1_Brush_teeth/user22/2-2-1
train__c01__user22__2-2-2,1,Brush_teeth,user22,2-2-2,Depth_Color/1_Brush_teeth/user22/2-2-2,IMU/1_Brush_teeth/user22/2-2-2,IR/1_Brush_teeth/user22/2-2-2,Radar/1_Brush_teeth/user22/2-2-2,Skeleton/1_Brush_teeth/user22/2-2-2,Thermal/1_Brush_teeth/user22/2-2-2
