rank,val_users,train_users,total_score,coverage_penalty,union_train_samples,union_val_samples,union_val_ratio,union_train_class_count,union_val_class_count,depth_color_train_samples,depth_color_val_samples,depth_color_val_ratio,depth_color_train_class_count,depth_color_val_class_count,depth_color_min_val_class_samples,depth_color_max_val_class_samples,depth_color_mean_val_class_samples,imu_train_samples,imu_val_samples,imu_val_ratio,imu_train_class_count,imu_val_class_count,imu_min_val_class_samples,imu_max_val_class_samples,imu_mean_val_class_samples,ir_train_samples,ir_val_samples,ir_val_ratio,ir_train_class_count,ir_val_class_count,ir_min_val_class_samples,ir_max_val_class_samples,ir_mean_val_class_samples,radar_train_samples,radar_val_samples,radar_val_ratio,radar_train_class_count,radar_val_class_count,radar_min_val_class_samples,radar_max_val_class_samples,radar_mean_val_class_samples,skeleton_train_samples,skeleton_val_samples,skeleton_val_ratio,skeleton_train_class_count,skeleton_val_class_count,skeleton_min_val_class_samples,skeleton_max_val_class_samples,skeleton_mean_val_class_samples,thermal_train_samples,thermal_val_samples,thermal_val_ratio,thermal_train_class_count,thermal_val_class_count,thermal_min_val_class_samples,thermal_max_val_class_samples,thermal_mean_val_class_samples,min_val_class_samples_union,union_ratio_error,mean_modality_ratio_error,union_class_distribution_error,mean_modality_class_distribution_error,class_distribution_error,user_count_imbalance,missing_rate_error,min_class_penalty,status
11,user1;user3;user20;user23,user2;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user21;user22;user24,0.450806909071,0.000000000000,2420,616,0.202898550725,40,40,2331,600,0.204708290686,40,40,3,64,15.000000000000,2307,596,0.205304857044,40,40,3,63,14.900000000000,2332,601,0.204909648824,40,40,3,64,15.025000000000,2321,593,0.203500343171,40,40,3,63,14.825000000000,2331,600,0.204708290686,40,40,3,64,15.000000000000,2295,596,0.206157039087,40,40,3,61,14.900000000000,3,0.002898550725,0.004881411583,0.005846508564,0.005931005711,0.011777514275,0.053939115993,0.009379509380,0.500000000000,passed
12,user1;user20;user23;user24,user2;user3;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user21;user22,0.452730375230,0.000000000000,2424,612,0.201581027668,40,40,2333,598,0.204025929717,40,40,3,64,14.950000000000,2309,594,0.204615914571,40,40,3,63,14.850000000000,2334,599,0.204227753154,40,40,3,64,14.975000000000,2320,594,0.203843514070,40,40,3,63,14.850000000000,2333,598,0.204025929717,40,40,3,64,14.950000000000,2294,597,0.206502940159,40,40,3,60,14.925000000000,3,0.001581027668,0.004540330231,0.006131003126,0.006214624312,0.012345627438,0.048029210643,0.014086947910,0.500000000000,passed
13,user4;user7;user23;user24,user1;user2;user3;user5;user6;user8;user9;user16;user17;user18;user19;user20;user21;user22,0.470495012135,0.000000000000,2408,628,0.206851119895,40,40,2323,608,0.207437734562,40,40,5,75,15.200000000000,2295,608,0.209438511884,40,40,5,75,15.200000000000,2324,609,0.207637231504,40,40,5,75,15.225000000000,2306,608,0.208647906658,40,40,5,75,15.200000000000,2323,608,0.207437734562,40,40,5,75,15.200000000000,2280,611,0.211345555171,40,40,6,70,15.275000000000,6,0.006851119895,0.008657445723,0.005945008098,0.006074985164,0.012019993263,0.112145330329,0.008355851509,0.305555555556,passed
14,user4;user16;user23;user24,user1;user2;user3;user5;user6;user7;user8;user9;user17;user18;user19;user20;user21;user22,0.479214316419,0.000000000000,2407,629,0.207180500659,40,40,2321,610,0.208120095531,40,40,6,74,15.250000000000,2293,610,0.210127454358,40,40,6,74,15.250000000000,2322,611,0.208319127174,40,40,6,74,15.275000000000,2304,610,0.209334248456,40,40,6,74,15.250000000000,2321,610,0.208120095531,40,40,6,74,15.250000000000,2277,614,0.212383258388,40,40,5,69,15.350000000000,6,0.007180500659,0.009400713239,0.005776024222,0.005770087196,0.011546111418,0.114500525151,0.010259591142,0.289682539683,passed
15,user1;user3;user8;user23,user2;user4;user5;user6;user7;user9;user16;user17;user18;user19;user20;user21;user22;user24,0.480131509371,0.000000000000,2410,626,0.206192358366,40,40,2325,606,0.206755373593,40,40,3,69,15.150000000000,2301,602,0.207371684464,40,40,3,68,15.050000000000,2326,607,0.206955335834,40,40,3,69,15.175000000000,2317,597,0.204873026767,40,40,3,67,14.925000000000,2325,606,0.206755373593,40,40,3,69,15.150000000000,2291,600,0.207540643376,40,40,3,66,15.000000000000,3,0.006192358366,0.006708572938,0.005062466588,0.005258937439,0.010321404027,0.067849075341,0.004447341873,0.500000000000,passed
16,user1;user3;user17;user23,user2;user4;user5;user6;user7;user8;user9;user16;user18;user19;user20;user21;user22;user24,0.480670520204,0.000000000000,2413,623,0.205204216074,40,40,2324,607,0.207096554077,40,40,3,73,15.175000000000,2306,597,0.205649328281,40,40,3,69,14.925000000000,2325,608,0.207296283669,40,40,3,73,15.200000000000,2319,595,0.204186684969,40,40,3,72,14.875000000000,2324,607,0.207096554077,40,40,3,73,15.175000000000,2291,600,0.207540643376,40,40,3,67,15.000000000000,3,0.005204216074,0.006477674742,0.005252645091,0.005794710558,0.011047355650,0.062805770615,0.007555050117,0.500000000000,passed
17,user1;user17;user21;user23,user2;user3;user4;user5;user6;user7;user8;user9;user16;user18;user19;user20;user22;user24,0.481603104732,0.000000000000,2443,593,0.195322793149,40,40,2352,579,0.197543500512,40,40,3,76,14.475000000000,2337,566,0.194970719945,40,40,3,71,14.150000000000,2353,580,0.197749744289,40,40,3,76,14.500000000000,2344,570,0.195607412491,40,40,3,75,14.250000000000,2352,579,0.197543500512,40,40,3,76,14.475000000000,2313,578,0.199930819786,40,40,3,69,14.450000000000,3,0.004677206851,0.002775717078,0.005789519582,0.006240212898,0.012029732480,0.084165124543,0.009923914710,0.500000000000,passed
18,user1;user8;user23;user24,user2;user3;user4;user5;user6;user7;user9;user16;user17;user18;user19;user20;user21;user22,0.483836693810,0.000000000000,2414,622,0.204874835310,40,40,2327,604,0.206073012624,40,40,3,69,15.100000000000,2303,600,0.206682741991,40,40,3,68,15.000000000000,2328,605,0.206273440164,40,40,3,69,15.125000000000,2316,598,0.205216197666,40,40,3,67,14.950000000000,2327,604,0.206073012624,40,40,3,69,15.100000000000,2290,601,0.207886544448,40,40,3,65,15.025000000000,3,0.004874835310,0.006367491586,0.006198289338,0.006492424756,0.012690714095,0.065186929044,0.006987073305,0.500000000000,passed
19,user1;user3;user21;user23,user2;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user22;user24,0.484663097436,0.000000000000,2446,590,0.194334650856,40,40,2357,574,0.195837598089,40,40,3,79,14.350000000000,2336,567,0.195315191182,40,40,3,77,14.175000000000,2358,575,0.196045005114,40,40,3,79,14.375000000000,2347,567,0.194577899794,40,40,3,78,14.175000000000,2357,574,0.195837598089,40,40,3,79,14.350000000000,2322,569,0.196817710135,40,40,3,75,14.225000000000,3,0.005665349144,0.004261499599,0.005922601103,0.006570779212,0.012493380315,0.077522688990,0.006938024311,0.500000000000,passed
20,user1;user17;user20;user23,user2;user3;user4;user5;user6;user7;user8;user9;user16;user18;user19;user21;user22;user24,0.485475899813,0.000000000000,2417,619,0.203886693017,40,40,2326,605,0.206414193108,40,40,3,61,15.125000000000,2308,595,0.204960385808,40,40,3,57,14.875000000000,2327,606,0.206614387999,40,40,3,61,15.150000000000,2318,596,0.204529855868,40,40,3,60,14.900000000000,2326,605,0.206414193108,40,40,3,61,15.125000000000,2286,605,0.209270148737,40,40,3,55,15.125000000000,3,0.003886693017,0.006367194105,0.005935398801,0.005925139541,0.011860538342,0.059291597103,0.011677763091,0.500000000000,passed
21,user4;user7;user21;user23,user1;user2;user3;user5;user6;user8;user9;user16;user17;user18;user19;user20;user22;user24,0.487012038086,0.000000000000,2434,602,0.198287220026,40,40,2349,582,0.198567041965,40,40,3,78,14.550000000000,2324,579,0.199448846021,40,40,3,77,14.475000000000,2350,583,0.198772587794,40,40,3,78,14.575000000000,2332,582,0.199725463281,40,40,3,78,14.550000000000,2349,582,0.198567041965,40,40,3,78,14.550000000000,2303,588,0.203389830508,40,40,3,73,14.700000000000,3,0.001712779974,0.001384808247,0.006081725824,0.006283804633,0.012365530457,0.134664240528,0.007026242491,0.500000000000,passed
22,user4;user8;user21;user24,user1;user2;user3;user5;user6;user7;user9;user16;user17;user18;user19;user20;user22;user23,0.491324326579,0.000000000000,2432,604,0.198945981555,40,40,2340,591,0.201637666325,40,40,3,74,14.775000000000,2315,588,0.202549087151,40,40,3,73,14.700000000000,2342,591,0.201500170474,40,40,3,74,14.775000000000,2325,589,0.202127659574,40,40,3,73,14.725000000000,2340,591,0.201637666325,40,40,3,74,14.775000000000,2299,592,0.204773434798,40,40,3,71,14.800000000000,3,0.001054018445,0.002370947441,0.006907289131,0.006999132674,0.013906421805,0.092240981968,0.016514482574,0.500000000000,passed
23,user8;user21;user23;user24,user1;user2;user3;user4;user5;user6;user7;user9;user16;user17;user18;user19;user20;user22,0.491538954193,0.000000000000,2434,602,0.198287220026,40,40,2343,588,0.200614124872,40,40,3,76,14.700000000000,2318,585,0.201515673441,40,40,3,75,14.625000000000,2344,589,0.200818274804,40,40,3,76,14.725000000000,2328,586,0.201098146877,40,40,3,75,14.650000000000,2343,588,0.200614124872,40,40,3,76,14.700000000000,2309,582,0.201314424075,40,40,3,71,14.550000000000,3,0.001712779974,0.000995794824,0.008804697998,0.009392964855,0.018197662854,0.094611500770,0.013117050908,0.500000000000,passed
24,user1;user4;user17;user24,user2;user3;user5;user6;user7;user8;user9;user16;user18;user19;user20;user21;user22;user23,0.495475142078,0.000000000000,2415,621,0.204545454545,40,40,2323,608,0.207437734562,40,40,3,71,15.200000000000,2305,598,0.205993799518,40,40,3,67,14.950000000000,2325,608,0.207296283669,40,40,3,71,15.200000000000,2315,599,0.205559368566,40,40,3,70,14.975000000000,2323,608,0.207437734562,40,40,3,71,15.200000000000,2280,611,0.211345555171,40,40,3,66,15.275000000000,3,0.004545454545,0.007511746008,0.004825428195,0.004929084993,0.009754513188,0.054346335042,0.013913287464,0.500000000000,passed
25,user1;user4;user8;user24,user2;user3;user5;user6;user7;user9;user16;user17;user18;user19;user20;user21;user22;user23,0.498510501984,0.000000000000,2412,624,0.205533596838,40,40,2324,607,0.207096554077,40,40,3,67,15.175000000000,2300,603,0.207716155701,40,40,3,66,15.075000000000,2326,607,0.206955335834,40,40,3,67,15.175000000000,2313,601,0.206245710364,40,40,3,65,15.025000000000,2324,607,0.207096554077,40,40,3,67,15.175000000000,2280,611,0.211345555171,40,40,3,65,15.275000000000,3,0.005533596838,0.007742644204,0.004882436404,0.005278887206,0.010161323610,0.060474238026,0.010295260295,0.500000000000,passed
26,user17;user21;user23;user24,user1;user2;user3;user4;user5;user6;user7;user8;user9;user16;user18;user19;user20;user22,0.498564264405,0.000000000000,2437,599,0.197299077734,40,40,2342,589,0.200955305357,40,40,3,80,14.725000000000,2323,580,0.199793317258,40,40,3,76,14.500000000000,2343,590,0.201159222639,40,40,3,80,14.750000000000,2330,584,0.200411805079,40,40,3,80,14.600000000000,2342,589,0.200955305357,40,40,3,80,14.725000000000,2309,582,0.201314424075,40,40,3,72,14.550000000000,3,0.002700922266,0.000833790875,0.007790020038,0.008208566734,0.015998586772,0.088763839987,0.016882093051,0.500000000000,passed
27,user3;user21;user23;user24,user1;user2;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user22,0.504456216807,0.000000000000,2440,596,0.196310935441,40,40,2347,584,0.199249402934,40,40,3,83,14.600000000000,2322,581,0.200137788495,40,40,3,82,14.525000000000,2348,585,0.199454483464,40,40,3,83,14.625000000000,2333,581,0.199382292382,40,40,3,83,14.525000000000,2347,584,0.199249402934,40,40,3,83,14.600000000000,2318,573,0.198201314424,40,40,2,78,14.325000000000,3,0.003689064559,0.000766815393,0.008548867726,0.009062802362,0.017611670088,0.083286400309,0.014532913023,0.513888888889,passed
28,user8;user17;user23;user24,user1;user2;user3;user4;user5;user6;user7;user9;user16;user18;user19;user20;user21;user22,0.506462533709,0.000000000000,2401,635,0.209156785244,40,40,2310,621,0.211873080860,40,40,5,70,15.525000000000,2288,615,0.211849810541,40,40,5,67,15.375000000000,2311,622,0.212069553358,40,40,5,70,15.550000000000,2300,614,0.210706932052,40,40,5,69,15.350000000000,2310,621,0.211873080860,40,40,5,70,15.525000000000,2278,613,0.212037357316,40,40,5,63,15.325000000000,5,0.009156785244,0.011734969164,0.007096314048,0.007103990985,0.014200305032,0.068481306788,0.011844826215,0.333333333333,passed
29,user2;user4;user23;user24,user1;user3;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user21;user22,0.506808146785,0.000000000000,2425,611,0.201251646904,40,40,2340,591,0.201637666325,40,40,3,78,14.775000000000,2312,591,0.203582500861,40,40,3,78,14.775000000000,2341,592,0.201841118309,40,40,3,78,14.800000000000,2326,588,0.201784488675,40,40,3,78,14.700000000000,2340,591,0.201637666325,40,40,3,78,14.775000000000,2367,524,0.181252161882,40,40,3,48,13.100000000000,3,0.001251646904,0.004871879769,0.007105433111,0.007334718691,0.014440151802,0.073540562811,0.019129690846,0.500000000000,passed
30,user1;user4;user16;user23,user2;user3;user5;user6;user7;user8;user9;user17;user18;user19;user20;user21;user22;user24,0.511073575268,0.000000000000,2413,623,0.205204216074,40,40,2331,600,0.204708290686,40,40,3,70,15.000000000000,2307,596,0.205304857044,40,40,3,69,14.900000000000,2332,601,0.204909648824,40,40,3,70,15.025000000000,2318,596,0.204529855868,40,40,3,69,14.900000000000,2331,600,0.204708290686,40,40,3,70,15.000000000000,2281,610,0.210999654099,40,40,3,66,15.250000000000,3,0.005204216074,0.005860099534,0.004091749726,0.003985459955,0.008077209680,0.115870395655,0.006094954007,0.500000000000,passed
31,user1;user8;user17;user23,user2;user3;user4;user5;user6;user7;user9;user16;user18;user19;user20;user21;user22;user24,0.513391562067,0.000000000000,2407,629,0.207180500659,40,40,2320,611,0.208461276015,40,40,3,66,15.275000000000,2302,601,0.207027213228,40,40,3,62,15.025000000000,2321,612,0.208660075009,40,40,3,66,15.300000000000,2314,600,0.205902539465,40,40,3,64,15.000000000000,2320,611,0.208461276015,40,40,3,66,15.275000000000,2282,609,0.210653753027,40,40,3,60,15.225000000000,3,0.007180500659,0.008194355460,0.005340812214,0.005135927566,0.010476739780,0.070867691854,0.006904515536,0.500000000000,passed
32,user1;user4;user7;user23,user2;user3;user5;user6;user8;user9;user16;user17;user18;user19;user20;user21;user22;user24,0.515209603647,0.000000000000,2414,622,0.204874835310,40,40,2333,598,0.204025929717,40,40,3,71,14.950000000000,2309,594,0.204615914571,40,40,3,70,14.850000000000,2334,599,0.204227753154,40,40,3,71,14.975000000000,2320,594,0.203843514070,40,40,3,70,14.850000000000,2333,598,0.204025929717,40,40,3,71,14.950000000000,2284,607,0.209961950882,40,40,3,67,15.175000000000,3,0.004874835310,0.005116832018,0.005398349495,0.005790341614,0.011188691109,0.113364003626,0.006789374240,0.500000000000,passed
33,user1;user21;user23;user24,user2;user3;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user22,0.523141459746,0.000000000000,2450,586,0.193017127800,40,40,2359,572,0.195155237120,40,40,3,79,14.300000000000,2338,565,0.194626248708,40,40,3,77,14.125000000000,2360,573,0.195363109444,40,40,3,79,14.325000000000,2346,568,0.194921070693,40,40,3,78,14.200000000000,2359,572,0.195155237120,40,40,3,79,14.300000000000,2321,570,0.197163611207,40,40,3,74,14.250000000000,3,0.006982872200,0.004602580951,0.007697392384,0.008281509675,0.015978902058,0.069191586801,0.011837659875,0.500000000000,passed
34,user20;user21;user23;user24,user1;user2;user3;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user22,0.523378665056,0.000000000000,2444,592,0.194993412385,40,40,2349,582,0.198567041965,40,40,3,71,14.550000000000,2324,579,0.199448846021,40,40,3,70,14.475000000000,2350,583,0.198772587794,40,40,3,71,14.575000000000,2332,582,0.199725463281,40,40,3,71,14.550000000000,2349,582,0.198567041965,40,40,3,71,14.550000000000,2313,578,0.199930819786,40,40,3,66,14.450000000000,3,0.005006587615,0.000831366531,0.008282368337,0.008640555405,0.016922923742,0.076742004673,0.020560333060,0.500000000000,passed
35,user1;user7;user21;user23,user2;user3;user4;user5;user6;user8;user9;user16;user17;user18;user19;user20;user22;user24,0.524456568597,0.000000000000,2424,612,0.201581027668,40,40,2334,597,0.203684749232,40,40,3,80,14.925000000000,2313,590,0.203238029625,40,40,3,78,14.750000000000,2335,598,0.203886805319,40,40,3,80,14.950000000000,2321,593,0.203500343171,40,40,3,79,14.825000000000,2334,597,0.203684749232,40,40,3,80,14.925000000000,2294,597,0.206502940159,40,40,3,76,14.925000000000,3,0.001581027668,0.004082936123,0.006254682374,0.006771942878,0.013026625252,0.129405162570,0.011908298673,0.500000000000,passed
36,user3;user20;user23;user24,user1;user2;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user21;user22,0.528112299061,0.000000000000,2414,622,0.204874835310,40,40,2321,610,0.208120095531,40,40,3,68,15.250000000000,2293,610,0.210127454358,40,40,3,68,15.250000000000,2322,611,0.208319127174,40,40,3,68,15.275000000000,2307,607,0.208304735758,40,40,3,68,15.175000000000,2321,610,0.208120095531,40,40,3,68,15.250000000000,2291,600,0.207540643376,40,40,3,64,15.000000000000,3,0.004874835310,0.008422025288,0.006256275180,0.006331903711,0.012588178891,0.054851196493,0.016633375556,0.500000000000,passed
37,user1;user16;user21;user23,user2;user3;user4;user5;user6;user7;user8;user9;user17;user18;user19;user20;user22;user24,0.531248688085,0.000000000000,2423,613,0.201910408432,40,40,2332,599,0.204367110201,40,40,3,79,14.975000000000,2311,592,0.203926972098,40,40,3,77,14.800000000000,2333,600,0.204568700989,40,40,3,79,15.000000000000,2319,595,0.204186684969,40,40,3,78,14.875000000000,2332,599,0.204367110201,40,40,3,79,14.975000000000,2291,600,0.207540643376,40,40,3,75,15.000000000000,3,0.001910408432,0.004826203639,0.004785075021,0.005239292876,0.010024367897,0.131834588321,0.013855932902,0.500000000000,passed
38,user1;user4;user19;user23,user2;user3;user5;user6;user7;user8;user9;user16;user17;user18;user20;user21;user22;user24,0.534720931258,0.000000000000,2411,625,0.205862977602,40,40,2331,600,0.204708290686,40,40,3,75,15.000000000000,2307,596,0.205304857044,40,40,3,74,14.900000000000,2332,601,0.204909648824,40,40,3,75,15.025000000000,2318,596,0.204529855868,40,40,3,74,14.900000000000,2331,600,0.204708290686,40,40,3,75,15.000000000000,2283,608,0.210307851954,40,40,3,71,15.200000000000,3,0.005862977602,0.005744799177,0.004978260870,0.005323220089,0.010301480959,0.120871502018,0.007445322793,0.500000000000,passed
39,user4;user18;user23;user24,user1;user2;user3;user5;user6;user7;user8;user9;user16;user17;user19;user20;user21;user22,0.535558309236,0.000000000000,2414,622,0.204874835310,40,40,2329,602,0.205390651655,40,40,3,68,15.050000000000,2301,602,0.207371684464,40,40,3,68,15.050000000000,2330,603,0.205591544494,40,40,3,68,15.075000000000,2312,602,0.206588881263,40,40,3,68,15.050000000000,2329,602,0.205390651655,40,40,3,68,15.050000000000,2285,606,0.209616049810,40,40,3,63,15.150000000000,3,0.004874835310,0.006658243890,0.007753845600,0.007715169400,0.015469015000,0.098110265610,0.008326837507,0.500000000000,passed
40,user1;user3;user8;user24,user2;user4;user5;user6;user7;user9;user16;user17;user18;user19;user20;user21;user22;user23,0.535967931983,0.000000000000,2392,644,0.212121212121,40,40,2297,634,0.216308427158,40,40,5,73,15.850000000000,2273,630,0.217016879091,40,40,5,72,15.750000000000,2299,634,0.216160927378,40,40,5,73,15.850000000000,2289,625,0.214481811942,40,40,5,71,15.625000000000,2297,634,0.216308427158,40,40,5,73,15.850000000000,2268,623,0.215496368039,40,40,5,72,15.575000000000,5,0.012121212121,0.015962140128,0.004740730284,0.004961324712,0.009702054996,0.036217092515,0.017402283707,0.333333333333,passed
