sample_id,class_id,action_name,user_id,trial_id,fold_split,run_index,start_frame_id,end_frame_id,run_length,trial_unique_frames,run_fraction_of_trial
train__c04__user7__1-1-3,4,Wipe_hands,user7,1-1-3,train,0,58,71,14,14,1.0
train__c04__user7__7-2-3,4,Wipe_hands,user7,7-2-3,train,0,46,46,1,8,0.125
train__c04__user8__1-1-1,4,Wipe_hands,user8,1-1-1,train,0,79,107,29,29,1.0
train__c04__user8__1-1-2,4,Wipe_hands,user8,1-1-2,train,0,71,95,25,25,1.0
train__c04__user8__1-1-3,4,Wipe_hands,user8,1-1-3,train,0,64,84,21,21,1.0
train__c04__user8__7-1-1,4,Wipe_hands,user8,7-1-1,train,0,134,159,26,26,1.0
train__c04__user8__7-1-2,4,Wipe_hands,user8,7-1-2,train,0,169,198,30,30,1.0
train__c04__user8__7-1-3,4,Wipe_hands,user8,7-1-3,train,0,94,102,9,18,0.5
train__c04__user8__7-1-3,4,Wipe_hands,user8,7-1-3,train,1,106,111,6,18,0.3333333333333333
train__c04__user9__1-1-1,4,Wipe_hands,user9,1-1-1,train,0,63,75,13,13,1.0
train__c04__user9__1-1-2,4,Wipe_hands,user9,1-1-2,train,0,42,52,11,11,1.0
train__c04__user9__1-1-3,4,Wipe_hands,user9,1-1-3,train,0,54,69,16,16,1.0
train__c04__user21__7-2-3,4,Wipe_hands,user21,7-2-3,train,0,24,26,3,24,0.125
train__c05__user1__1-1-1,5,Put_on_clothes,user1,1-1-1,train,0,299,299,1,125,0.008
train__c05__user1__1-1-1,5,Put_on_clothes,user1,1-1-1,train,1,301,303,3,125,0.024
train__c05__user1__1-1-2,5,Put_on_clothes,user1,1-1-2,train,0,330,331,2,53,0.03773584905660377
train__c05__user1__1-1-3,5,Put_on_clothes,user1,1-1-3,train,0,124,124,1,39,0.02564102564102564
train__c05__user1__1-1-3,5,Put_on_clothes,user1,1-1-3,train,1,127,127,1,39,0.02564102564102564
train__c05__user1__1-1-3,5,Put_on_clothes,user1,1-1-3,train,2,134,135,2,39,0.05128205128205128
train__c05__user4__5-2-1,5,Put_on_clothes,user4,5-2-1,validation,0,102,102,1,93,0.010752688172043012
train__c05__user4__5-2-2,5,Put_on_clothes,user4,5-2-2,validation,0,150,152,3,106,0.02830188679245283
train__c05__user4__5-2-2,5,Put_on_clothes,user4,5-2-2,validation,1,154,155,2,106,0.018867924528301886
train__c05__user4__5-2-2,5,Put_on_clothes,user4,5-2-2,validation,2,172,172,1,106,0.009433962264150943
train__c05__user4__5-2-3,5,Put_on_clothes,user4,5-2-3,validation,0,95,96,2,83,0.024096385542168676
train__c05__user4__5-2-3,5,Put_on_clothes,user4,5-2-3,validation,1,141,142,2,83,0.024096385542168676
train__c05__user7__1-1-1,5,Put_on_clothes,user7,1-1-1,train,0,160,226,67,67,1.0
train__c05__user7__1-1-2,5,Put_on_clothes,user7,1-1-2,train,0,97,165,69,69,1.0
train__c05__user7__1-1-3,5,Put_on_clothes,user7,1-1-3,train,0,130,201,72,72,1.0
train__c05__user7__6-1-3,5,Put_on_clothes,user7,6-1-3,train,0,52,52,1,33,0.030303030303030304
train__c05__user8__6-1-1,5,Put_on_clothes,user8,6-1-1,train,0,132,132,1,145,0.006896551724137931
train__c05__user8__6-1-1,5,Put_on_clothes,user8,6-1-1,train,1,209,209,1,145,0.006896551724137931
train__c05__user8__6-1-2,5,Put_on_clothes,user8,6-1-2,train,0,74,74,1,93,0.010752688172043012
train__c05__user8__6-1-2,5,Put_on_clothes,user8,6-1-2,train,1,81,82,2,93,0.021505376344086023
train__c05__user8__6-1-2,5,Put_on_clothes,user8,6-1-2,train,2,93,93,1,93,0.010752688172043012
train__c05__user8__6-1-2,5,Put_on_clothes,user8,6-1-2,train,3,121,121,1,93,0.010752688172043012
train__c05__user8__6-1-2,5,Put_on_clothes,user8,6-1-2,train,4,123,123,1,93,0.010752688172043012
train__c05__user8__6-1-3,5,Put_on_clothes,user8,6-1-3,train,0,99,100,2,41,0.04878048780487805
train__c05__user8__7-1-1,5,Put_on_clothes,user8,7-1-1,train,0,218,218,1,71,0.014084507042253521
train__c05__user8__7-1-1,5,Put_on_clothes,user8,7-1-1,train,1,221,223,3,71,0.04225352112676056
train__c05__user8__7-1-1,5,Put_on_clothes,user8,7-1-1,train,2,225,288,64,71,0.9014084507042254
train__c05__user8__7-1-2,5,Put_on_clothes,user8,7-1-2,train,0,237,301,65,65,1.0
train__c05__user8__7-1-3,5,Put_on_clothes,user8,7-1-3,train,0,139,154,16,16,1.0
train__c05__user9__1-1-1,5,Put_on_clothes,user9,1-1-1,train,0,164,167,4,61,0.06557377049180328
train__c05__user9__1-1-1,5,Put_on_clothes,user9,1-1-1,train,1,169,169,1,61,0.01639344262295082
train__c05__user9__1-1-1,5,Put_on_clothes,user9,1-1-1,train,2,172,224,53,61,0.8688524590163934
train__c05__user9__1-1-2,5,Put_on_clothes,user9,1-1-2,train,0,123,158,36,36,1.0
train__c05__user9__1-1-3,5,Put_on_clothes,user9,1-1-3,train,0,168,172,5,43,0.11627906976744186
train__c05__user9__1-1-3,5,Put_on_clothes,user9,1-1-3,train,1,175,210,36,43,0.8372093023255814
train__c05__user17__1-1-1,5,Put_on_clothes,user17,1-1-1,validation,0,257,257,1,90,0.011111111111111112
train__c05__user17__1-1-1,5,Put_on_clothes,user17,1-1-1,validation,1,271,271,1,90,0.011111111111111112
train__c05__user17__1-1-1,5,Put_on_clothes,user17,1-1-1,validation,2,273,273,1,90,0.011111111111111112
train__c05__user17__1-1-1,5,Put_on_clothes,user17,1-1-1,validation,3,307,307,1,90,0.011111111111111112
train__c05__user17__1-1-3,5,Put_on_clothes,user17,1-1-3,validation,0,141,141,1,55,0.01818181818181818
train__c05__user17__1-1-3,5,Put_on_clothes,user17,1-1-3,validation,1,149,149,1,55,0.01818181818181818
train__c05__user17__1-1-3,5,Put_on_clothes,user17,1-1-3,validation,2,176,176,1,55,0.01818181818181818
train__c05__user17__6-1-2,5,Put_on_clothes,user17,6-1-2,validation,0,102,102,1,54,0.018518518518518517
train__c05__user17__6-1-2,5,Put_on_clothes,user17,6-1-2,validation,1,110,110,1,54,0.018518518518518517
train__c05__user18__6-1-1,5,Put_on_clothes,user18,6-1-1,train,0,117,117,1,43,0.023255813953488372
train__c05__user18__6-1-2,5,Put_on_clothes,user18,6-1-2,train,0,67,113,47,47,1.0
train__c05__user18__6-1-3,5,Put_on_clothes,user18,6-1-3,train,0,111,111,1,39,0.02564102564102564
train__c05__user18__6-1-3,5,Put_on_clothes,user18,6-1-3,train,1,114,116,3,39,0.07692307692307693
train__c05__user18__7-1-1,5,Put_on_clothes,user18,7-1-1,train,0,406,406,1,56,0.017857142857142856
train__c05__user18__7-1-2,5,Put_on_clothes,user18,7-1-2,train,0,305,305,1,39,0.02564102564102564
train__c05__user19__1-1-1,5,Put_on_clothes,user19,1-1-1,train,0,246,246,1,117,0.008547008547008548
train__c05__user19__1-1-1,5,Put_on_clothes,user19,1-1-1,train,1,260,260,1,117,0.008547008547008548
train__c05__user19__1-1-2,5,Put_on_clothes,user19,1-1-2,train,0,142,142,1,88,0.011363636363636364
train__c05__user19__1-1-2,5,Put_on_clothes,user19,1-1-2,train,1,189,189,1,88,0.011363636363636364
train__c05__user19__1-1-3,5,Put_on_clothes,user19,1-1-3,train,0,134,134,1,59,0.01694915254237288
train__c05__user19__1-1-3,5,Put_on_clothes,user19,1-1-3,train,1,141,141,1,59,0.01694915254237288
train__c05__user21__6-1-1,5,Put_on_clothes,user21,6-1-1,train,0,150,150,1,85,0.011764705882352941
train__c05__user21__6-1-3,5,Put_on_clothes,user21,6-1-3,train,0,53,56,4,44,0.09090909090909091
train__c05__user22__2-2-1,5,Put_on_clothes,user22,2-2-1,train,0,206,206,1,74,0.013513513513513514
train__c05__user22__2-2-1,5,Put_on_clothes,user22,2-2-1,train,1,221,221,1,74,0.013513513513513514
train__c05__user22__2-2-1,5,Put_on_clothes,user22,2-2-1,train,2,237,237,1,74,0.013513513513513514
train__c05__user22__2-2-2,5,Put_on_clothes,user22,2-2-2,train,0,193,194,2,114,0.017543859649122806
train__c05__user22__2-2-2,5,Put_on_clothes,user22,2-2-2,train,1,196,196,1,114,0.008771929824561403
train__c05__user22__2-2-2,5,Put_on_clothes,user22,2-2-2,train,2,231,233,3,114,0.02631578947368421
train__c05__user22__2-2-3,5,Put_on_clothes,user22,2-2-3,train,0,120,120,1,41,0.024390243902439025
train__c05__user23__4-3-2,5,Put_on_clothes,user23,4-3-2,validation,0,79,80,2,30,0.06666666666666667
train__c05__user23__5-2-3,5,Put_on_clothes,user23,5-2-3,validation,0,93,93,1,25,0.04
train__c06__user6__5-3-3,6,Drink_water,user6,5-3-3,train,0,99,143,45,45,1.0
train__c06__user9__3-2-2,6,Drink_water,user9,3-2-2,train,0,138,138,1,24,0.041666666666666664
train__c06__user16__1-2-3,6,Drink_water,user16,1-2-3,train,0,127,127,1,20,0.05
train__c07__user17__2-2-2,7,Eat_food,user17,2-2-2,validation,0,319,320,2,45,0.044444444444444446
train__c08__user7__2-1-3,8,Take_and_use_tableware,user7,2-1-3,train,0,30,30,1,37,0.02702702702702703
train__c09__user1__2-1-1,9,Pour_drinks,user1,2-1-1,train,0,128,129,2,67,0.029850746268656716
train__c09__user6__2-1-1,9,Pour_drinks,user6,2-1-1,train,0,122,122,1,55,0.01818181818181818
train__c09__user6__2-1-1,9,Pour_drinks,user6,2-1-1,train,1,127,127,1,55,0.01818181818181818
train__c10__user9__3-2-1,10,Stir_drinks,user9,3-2-1,train,0,140,140,1,27,0.037037037037037035
train__c10__user9__3-2-2,10,Stir_drinks,user9,3-2-2,train,0,106,106,1,20,0.05
train__c11__user16__3-2-1,11,Peel_fruits,user16,3-2-1,train,0,150,166,17,17,1.0
train__c12__user2__3-1-2,12,Sweep_the_floor,user2,3-1-2,train,0,67,67,1,90,0.011111111111111112
train__c12__user2__3-1-2,12,Sweep_the_floor,user2,3-1-2,train,1,123,123,1,90,0.011111111111111112
train__c12__user2__3-1-3,12,Sweep_the_floor,user2,3-1-3,train,0,78,78,1,54,0.018518518518518517
train__c12__user3__6-2-3,12,Sweep_the_floor,user3,6-2-3,train,0,102,102,1,40,0.025
train__c12__user3__6-2-3,12,Sweep_the_floor,user3,6-2-3,train,1,113,113,1,40,0.025
train__c12__user3__6-2-3,12,Sweep_the_floor,user3,6-2-3,train,2,115,120,6,40,0.15
train__c12__user3__6-2-3,12,Sweep_the_floor,user3,6-2-3,train,3,123,123,1,40,0.025
train__c12__user5__3-1-2,12,Sweep_the_floor,user5,3-1-2,train,0,121,121,1,179,0.00558659217877095
train__c12__user5__3-1-3,12,Sweep_the_floor,user5,3-1-3,train,0,109,109,1,99,0.010101010101010102
train__c12__user5__3-1-3,12,Sweep_the_floor,user5,3-1-3,train,1,124,124,1,99,0.010101010101010102
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,3-1-3,train,0,42,42,1,66,0.015151515151515152
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,3-1-3,train,1,60,60,1,66,0.015151515151515152
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,3-1-3,train,2,70,70,1,66,0.015151515151515152
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,3-1-3,train,3,75,75,1,66,0.015151515151515152
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,3-1-3,train,4,82,82,1,66,0.015151515151515152
train__c12__user17__3-1-1,12,Sweep_the_floor,user17,3-1-1,validation,0,97,97,1,94,0.010638297872340425
train__c12__user17__3-1-1,12,Sweep_the_floor,user17,3-1-1,validation,1,109,109,1,94,0.010638297872340425
train__c12__user18__3-1-3,12,Sweep_the_floor,user18,3-1-3,train,0,50,50,1,29,0.034482758620689655
train__c12__user20__3-2-2,12,Sweep_the_floor,user20,3-2-2,train,0,106,106,1,37,0.02702702702702703
train__c12__user20__3-2-2,12,Sweep_the_floor,user20,3-2-2,train,1,108,109,2,37,0.05405405405405406
train__c12__user20__3-2-2,12,Sweep_the_floor,user20,3-2-2,train,2,111,111,1,37,0.02702702702702703
train__c12__user23__3-2-2,12,Sweep_the_floor,user23,3-2-2,validation,0,58,58,1,68,0.014705882352941176
train__c12__user23__3-2-2,12,Sweep_the_floor,user23,3-2-2,validation,1,67,67,1,68,0.014705882352941176
train__c12__user23__3-2-2,12,Sweep_the_floor,user23,3-2-2,validation,2,71,71,1,68,0.014705882352941176
train__c13__user1__3-2-1,13,Mop_the_floor,user1,3-2-1,train,0,188,188,1,105,0.009523809523809525
train__c13__user2__3-1-1,13,Mop_the_floor,user2,3-1-1,train,0,189,189,1,29,0.034482758620689655
train__c13__user2__3-1-1,13,Mop_the_floor,user2,3-1-1,train,1,191,191,1,29,0.034482758620689655
train__c13__user7__3-1-3,13,Mop_the_floor,user7,3-1-3,train,0,60,60,1,28,0.03571428571428571
train__c13__user7__3-1-3,13,Mop_the_floor,user7,3-1-3,train,1,65,65,1,28,0.03571428571428571
train__c13__user17__3-1-2,13,Mop_the_floor,user17,3-1-2,validation,0,131,131,1,42,0.023809523809523808
train__c13__user18__3-1-1,13,Mop_the_floor,user18,3-1-1,train,0,168,168,1,38,0.02631578947368421
train__c13__user19__7-2-1,13,Mop_the_floor,user19,7-2-1,train,0,155,155,1,69,0.014492753623188406
train__c13__user20__3-2-2,13,Mop_the_floor,user20,3-2-2,train,0,172,183,12,33,0.36363636363636365
train__c15__user6__6-2-3,15,Wipe_windows_and_tables,user6,6-2-3,train,0,196,197,2,32,0.0625
train__c15__user6__6-2-3,15,Wipe_windows_and_tables,user6,6-2-3,train,1,203,203,1,32,0.03125
train__c15__user6__6-2-3,15,Wipe_windows_and_tables,user6,6-2-3,train,2,207,208,2,32,0.0625
train__c15__user7__3-3-1,15,Wipe_windows_and_tables,user7,3-3-1,train,0,33,59,27,68,0.39705882352941174
train__c15__user20__3-2-1,15,Wipe_windows_and_tables,user20,3-2-1,train,0,57,59,3,36,0.08333333333333333
train__c15__user20__3-2-3,15,Wipe_windows_and_tables,user20,3-2-3,train,0,29,32,4,14,0.2857142857142857
train__c15__user23__3-1-1,15,Wipe_windows_and_tables,user23,3-1-1,validation,0,18,31,14,84,0.16666666666666666
train__c15__user23__3-1-2,15,Wipe_windows_and_tables,user23,3-1-2,validation,0,10,18,9,47,0.19148936170212766
train__c15__user23__3-1-3,15,Wipe_windows_and_tables,user23,3-1-3,validation,0,30,37,8,113,0.07079646017699115
train__c15__user23__3-1-3,15,Wipe_windows_and_tables,user23,3-1-3,validation,1,40,40,1,113,0.008849557522123894
train__c15__user23__3-1-3,15,Wipe_windows_and_tables,user23,3-1-3,validation,2,111,111,1,113,0.008849557522123894
train__c15__user23__3-1-3,15,Wipe_windows_and_tables,user23,3-1-3,validation,3,123,123,1,113,0.008849557522123894
train__c15__user23__3-1-3,15,Wipe_windows_and_tables,user23,3-1-3,validation,4,125,130,6,113,0.05309734513274336
train__c16__user2__1-1-1,16,Fold_clothes,user2,1-1-1,train,0,155,161,7,140,0.05
train__c16__user2__1-1-1,16,Fold_clothes,user2,1-1-1,train,1,169,187,19,140,0.1357142857142857
train__c16__user2__1-1-2,16,Fold_clothes,user2,1-1-2,train,0,59,59,1,95,0.010526315789473684
train__c16__user2__1-1-2,16,Fold_clothes,user2,1-1-2,train,1,108,119,12,95,0.12631578947368421
train__c16__user2__1-1-2,16,Fold_clothes,user2,1-1-2,train,2,129,133,5,95,0.05263157894736842
train__c16__user2__1-1-3,16,Fold_clothes,user2,1-1-3,train,0,32,32,1,42,0.023809523809523808
train__c16__user2__1-1-3,16,Fold_clothes,user2,1-1-3,train,1,54,67,14,42,0.3333333333333333
train__c16__user7__6-1-1,16,Fold_clothes,user7,6-1-1,train,0,144,144,1,58,0.017241379310344827
train__c16__user7__6-1-2,16,Fold_clothes,user7,6-1-2,train,0,146,146,1,64,0.015625
train__c16__user7__6-1-2,16,Fold_clothes,user7,6-1-2,train,1,176,176,1,64,0.015625
train__c16__user7__6-1-2,16,Fold_clothes,user7,6-1-2,train,2,179,179,1,64,0.015625
train__c16__user7__6-1-2,16,Fold_clothes,user7,6-1-2,train,3,181,181,1,64,0.015625
train__c16__user7__6-1-3,16,Fold_clothes,user7,6-1-3,train,0,91,91,1,26,0.038461538461538464
train__c16__user17__6-1-1,16,Fold_clothes,user17,6-1-1,validation,0,196,196,1,88,0.011363636363636364
train__c16__user17__6-1-1,16,Fold_clothes,user17,6-1-1,validation,1,207,208,2,88,0.022727272727272728
train__c16__user17__6-1-2,16,Fold_clothes,user17,6-1-2,validation,0,165,165,1,54,0.018518518518518517
train__c16__user17__6-1-3,16,Fold_clothes,user17,6-1-3,validation,0,143,143,1,25,0.04
train__c16__user18__2-1-1,16,Fold_clothes,user18,2-1-1,train,0,55,55,1,105,0.009523809523809525
train__c16__user18__2-1-1,16,Fold_clothes,user18,2-1-1,train,1,87,87,1,105,0.009523809523809525
train__c16__user23__4-3-1,16,Fold_clothes,user23,4-3-1,validation,0,40,40,1,42,0.023809523809523808
train__c16__user24__4-1-1,16,Fold_clothes,user24,4-1-1,validation,0,103,103,1,94,0.010638297872340425
train__c16__user24__4-1-3,16,Fold_clothes,user24,4-1-3,validation,0,46,46,1,28,0.03571428571428571
train__c17__user6__4-1-1,17,Tap_the_keyboard,user6,4-1-1,train,0,60,60,1,63,0.015873015873015872
train__c17__user6__4-1-2,17,Tap_the_keyboard,user6,4-1-2,train,0,12,12,1,66,0.015151515151515152
train__c17__user9__6-1-3,17,Tap_the_keyboard,user9,6-1-3,train,0,39,56,18,26,0.6923076923076923
train__c17__user9__6-1-3,17,Tap_the_keyboard,user9,6-1-3,train,1,61,61,1,26,0.038461538461538464
train__c17__user9__6-1-3,17,Tap_the_keyboard,user9,6-1-3,train,2,63,63,1,26,0.038461538461538464
train__c17__user16__4-1-1,17,Tap_the_keyboard,user16,4-1-1,train,0,67,68,2,79,0.02531645569620253
train__c17__user19__1-2-2,17,Tap_the_keyboard,user19,1-2-2,train,0,45,57,13,13,1.0
train__c18__user6__4-1-1,18,Write,user6,4-1-1,train,0,60,60,1,74,0.013513513513513514
train__c18__user6__4-1-2,18,Write,user6,4-1-2,train,0,12,12,1,61,0.01639344262295082
train__c18__user23__4-1-1,18,Write,user23,4-1-1,validation,0,64,68,5,64,0.078125
train__c18__user23__4-1-1,18,Write,user23,4-1-1,validation,1,78,79,2,64,0.03125
train__c19__user5__4-1-3,19,Make_a_phone_call,user5,4-1-3,train,0,130,130,1,78,0.01282051282051282
train__c20__user6__5-3-3,20,Check_the_time,user6,5-3-3,train,0,132,147,16,16,1.0
train__c20__user6__7-3-3,20,Check_the_time,user6,7-3-3,train,0,35,35,1,7,0.14285714285714285
train__c20__user16__5-3-1,20,Check_the_time,user16,5-3-1,train,0,602,603,2,42,0.047619047619047616
train__c20__user16__5-3-1,20,Check_the_time,user16,5-3-1,train,1,635,643,9,42,0.21428571428571427
train__c20__user22__6-1-1,20,Check_the_time,user22,6-1-1,train,0,25,27,3,15,0.2
train__c21__user6__4-1-1,21,Read_documents,user6,4-1-1,train,0,258,258,1,47,0.02127659574468085
train__c21__user6__4-1-2,21,Read_documents,user6,4-1-2,train,0,216,216,1,37,0.02702702702702703
train__c21__user6__4-1-2,21,Read_documents,user6,4-1-2,train,1,243,245,3,37,0.08108108108108109
train__c21__user6__7-3-2,21,Read_documents,user6,7-3-2,train,0,72,74,3,42,0.07142857142857142
train__c21__user6__7-3-2,21,Read_documents,user6,7-3-2,train,1,100,101,2,42,0.047619047619047616
train__c21__user6__7-3-3,21,Read_documents,user6,7-3-3,train,0,52,52,1,48,0.020833333333333332
train__c21__user8__4-1-2,21,Read_documents,user8,4-1-2,train,0,127,127,1,45,0.022222222222222223
train__c21__user9__6-1-3,21,Read_documents,user9,6-1-3,train,0,113,113,1,24,0.041666666666666664
train__c21__user24__7-2-3,21,Read_documents,user24,7-2-3,validation,0,156,156,1,51,0.0196078431372549
train__c22__user5__2-1-1,22,Turn_pages,user5,2-1-1,train,0,319,320,2,52,0.038461538461538464
train__c22__user6__4-1-1,22,Turn_pages,user6,4-1-1,train,0,258,258,1,35,0.02857142857142857
train__c22__user6__4-1-2,22,Turn_pages,user6,4-1-2,train,0,243,245,3,30,0.1
train__c22__user6__7-3-2,22,Turn_pages,user6,7-3-2,train,0,73,74,2,40,0.05
train__c22__user6__7-3-2,22,Turn_pages,user6,7-3-2,train,1,100,101,2,40,0.05
train__c22__user18__1-2-2,22,Turn_pages,user18,1-2-2,train,0,90,90,1,21,0.047619047619047616
train__c22__user24__7-2-3,22,Turn_pages,user24,7-2-3,validation,0,156,156,1,43,0.023255813953488372
train__c23__user6__4-1-1,23,Listen_to_music_with_headphones,user6,4-1-1,train,0,138,139,2,45,0.044444444444444446
train__c23__user8__2-1-2,23,Listen_to_music_with_headphones,user8,2-1-2,train,0,228,228,1,36,0.027777777777777776
train__c23__user9__3-3-2,23,Listen_to_music_with_headphones,user9,3-3-2,train,0,161,161,1,40,0.025
train__c23__user17__7-1-1,23,Listen_to_music_with_headphones,user17,7-1-1,validation,0,177,239,63,63,1.0
