sample_id,user_id,true_class_id,true_action,b2_prediction,b2_prediction_action,b2_correct,prediction_alpha_0.00,correct_alpha_0.00,prediction_alpha_0.25,correct_alpha_0.25,prediction_alpha_0.50,correct_alpha_0.50,prediction_alpha_0.75,correct_alpha_0.75,prediction_alpha_1.00,correct_alpha_1.00
train__c07__user17__1-2-2,user17,7,Eat_food,7,Eat_food,True,7,True,7,True,7,True,7,True,7,True
train__c07__user17__2-2-1,user17,7,Eat_food,7,Eat_food,True,7,True,7,True,7,True,7,True,7,True
train__c07__user17__2-2-2,user17,7,Eat_food,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,7,True
train__c07__user17__2-2-3,user17,7,Eat_food,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c07__user17__3-2-1,user17,7,Eat_food,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c07__user17__3-2-2,user17,7,Eat_food,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c07__user17__3-2-3,user17,7,Eat_food,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c07__user17__5-2-1,user17,7,Eat_food,37,Take_medicine,False,37,False,37,False,37,False,37,False,37,False
train__c07__user17__5-2-2,user17,7,Eat_food,6,Drink_water,False,6,False,6,False,6,False,6,False,6,False
train__c07__user17__7-2-1,user17,7,Eat_food,7,Eat_food,True,7,True,7,True,7,True,7,True,7,True
train__c07__user17__7-2-2,user17,7,Eat_food,7,Eat_food,True,7,True,7,True,7,True,7,True,7,True
train__c07__user17__7-2-3,user17,7,Eat_food,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c07__user23__2-3-1,user23,7,Eat_food,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c07__user23__2-3-2,user23,7,Eat_food,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c07__user23__2-3-3,user23,7,Eat_food,6,Drink_water,False,6,False,6,False,6,False,6,False,6,False
train__c07__user24__2-1-1,user24,7,Eat_food,19,Make_a_phone_call,False,19,False,19,False,19,False,19,False,19,False
train__c07__user24__2-1-2,user24,7,Eat_food,19,Make_a_phone_call,False,19,False,19,False,19,False,19,False,19,False
train__c07__user24__2-1-3,user24,7,Eat_food,19,Make_a_phone_call,False,19,False,19,False,19,False,19,False,19,False
train__c08__user4__1-2-1,user4,8,Take_and_use_tableware,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c08__user4__1-2-2,user4,8,Take_and_use_tableware,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c08__user4__2-1-1,user4,8,Take_and_use_tableware,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c08__user17__1-2-1,user17,8,Take_and_use_tableware,18,Write,False,18,False,18,False,18,False,18,False,18,False
train__c08__user17__1-2-2,user17,8,Take_and_use_tableware,7,Eat_food,False,7,False,7,False,7,False,7,False,7,False
train__c08__user17__2-1-1,user17,8,Take_and_use_tableware,8,Take_and_use_tableware,True,8,True,8,True,8,True,8,True,8,True
train__c08__user17__2-1-2,user17,8,Take_and_use_tableware,8,Take_and_use_tableware,True,8,True,8,True,8,True,8,True,8,True
train__c08__user17__2-1-3,user17,8,Take_and_use_tableware,8,Take_and_use_tableware,True,8,True,8,True,8,True,8,True,8,True
train__c08__user17__3-2-1,user17,8,Take_and_use_tableware,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c08__user17__3-2-2,user17,8,Take_and_use_tableware,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c08__user17__3-2-3,user17,8,Take_and_use_tableware,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c09__user4__1-2-2,user4,9,Pour_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c09__user4__6-1-2,user4,9,Pour_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c09__user17__1-2-1,user17,9,Pour_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c09__user17__1-2-2,user17,9,Pour_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c09__user17__1-2-3,user17,9,Pour_drinks,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c09__user17__2-1-2,user17,9,Pour_drinks,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c09__user17__5-2-1,user17,9,Pour_drinks,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c10__user4__1-2-1,user4,10,Stir_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c10__user4__1-2-2,user4,10,Stir_drinks,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c10__user4__1-2-3,user4,10,Stir_drinks,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c10__user4__5-1-1,user4,10,Stir_drinks,10,Stir_drinks,True,10,True,10,True,10,True,10,True,10,True
train__c10__user4__5-1-2,user4,10,Stir_drinks,10,Stir_drinks,True,10,True,10,True,10,True,10,True,10,True
train__c10__user4__5-1-3,user4,10,Stir_drinks,10,Stir_drinks,True,10,True,10,True,10,True,10,True,10,True
train__c10__user17__2-1-2,user17,10,Stir_drinks,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c10__user17__2-1-3,user17,10,Stir_drinks,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c10__user17__2-2-1,user17,10,Stir_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c10__user17__2-2-2,user17,10,Stir_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c10__user17__2-2-3,user17,10,Stir_drinks,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c10__user17__5-2-1,user17,10,Stir_drinks,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c10__user17__5-2-2,user17,10,Stir_drinks,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c10__user17__5-2-3,user17,10,Stir_drinks,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c11__user4__1-2-1,user4,11,Peel_fruits,7,Eat_food,False,7,False,7,False,7,False,7,False,7,False
train__c11__user4__2-1-1,user4,11,Peel_fruits,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c11__user4__2-1-2,user4,11,Peel_fruits,6,Drink_water,False,6,False,6,False,6,False,6,False,6,False
train__c11__user4__2-1-3,user4,11,Peel_fruits,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c11__user4__6-1-1,user4,11,Peel_fruits,21,Read_documents,False,21,False,21,False,21,False,21,False,21,False
train__c11__user4__6-1-2,user4,11,Peel_fruits,11,Peel_fruits,True,11,True,11,True,11,True,11,True,11,True
train__c11__user4__6-1-3,user4,11,Peel_fruits,11,Peel_fruits,True,11,True,11,True,11,True,11,True,11,True
train__c11__user4__7-1-1,user4,11,Peel_fruits,37,Take_medicine,False,37,False,37,False,37,False,37,False,37,False
train__c11__user4__7-1-2,user4,11,Peel_fruits,11,Peel_fruits,True,11,True,11,True,11,True,11,True,8,False
train__c11__user4__7-1-3,user4,11,Peel_fruits,11,Peel_fruits,True,11,True,11,True,11,True,11,True,11,True
train__c11__user17__7-2-1,user17,11,Peel_fruits,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c11__user17__7-2-2,user17,11,Peel_fruits,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c11__user17__7-2-3,user17,11,Peel_fruits,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c11__user24__4-2-1,user24,11,Peel_fruits,11,Peel_fruits,True,11,True,11,True,11,True,11,True,11,True
train__c11__user24__4-2-2,user24,11,Peel_fruits,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c11__user24__4-2-3,user24,11,Peel_fruits,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c12__user4__2-2-1,user4,12,Sweep_the_floor,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c12__user4__2-2-3,user4,12,Sweep_the_floor,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c13__user4__2-2-2,user4,13,Mop_the_floor,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c13__user4__2-2-3,user4,13,Mop_the_floor,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c14__user4__4-2-1,user4,14,Wipe_bowls,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c14__user4__4-2-2,user4,14,Wipe_bowls,7,Eat_food,False,7,False,7,False,7,False,7,False,7,False
train__c14__user4__4-2-3,user4,14,Wipe_bowls,14,Wipe_bowls,True,14,True,14,True,14,True,14,True,14,True
train__c14__user17__3-2-1,user17,14,Wipe_bowls,14,Wipe_bowls,True,14,True,14,True,14,True,14,True,14,True
train__c14__user17__3-2-2,user17,14,Wipe_bowls,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c14__user17__3-2-3,user17,14,Wipe_bowls,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c15__user17__3-3-1,user17,15,Wipe_windows_and_tables,7,Eat_food,False,7,False,8,False,8,False,8,False,8,False
train__c15__user17__3-3-3,user17,15,Wipe_windows_and_tables,18,Write,False,18,False,18,False,18,False,18,False,18,False
train__c16__user23__4-3-3,user23,16,Fold_clothes,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c16__user24__4-1-2,user24,16,Fold_clothes,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c17__user4__5-2-1,user4,17,Tap_the_keyboard,19,Make_a_phone_call,False,19,False,19,False,19,False,19,False,19,False
train__c17__user4__5-2-2,user4,17,Tap_the_keyboard,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c17__user23__5-3-2,user23,17,Tap_the_keyboard,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c17__user23__5-3-3,user23,17,Tap_the_keyboard,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c17__user24__1-2-1,user24,17,Tap_the_keyboard,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c17__user24__1-2-2,user24,17,Tap_the_keyboard,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c17__user24__1-2-3,user24,17,Tap_the_keyboard,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c17__user24__7-2-1,user24,17,Tap_the_keyboard,18,Write,False,18,False,18,False,18,False,18,False,18,False
train__c17__user24__7-2-2,user24,17,Tap_the_keyboard,18,Write,False,18,False,18,False,18,False,18,False,18,False
train__c17__user24__7-2-3,user24,17,Tap_the_keyboard,18,Write,False,18,False,18,False,18,False,18,False,18,False
train__c18__user23__4-1-1,user23,18,Write,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c18__user23__4-1-2,user23,18,Write,21,Read_documents,False,21,False,21,False,21,False,21,False,21,False
train__c18__user23__4-1-3,user23,18,Write,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c18__user23__7-1-1,user23,18,Write,18,Write,True,18,True,18,True,18,True,18,True,18,True
train__c18__user23__7-1-3,user23,18,Write,18,Write,True,18,True,18,True,18,True,18,True,18,True
train__c18__user24__1-2-1,user24,18,Write,25,Watch_TV,False,25,False,25,False,25,False,25,False,25,False
train__c18__user24__1-2-2,user24,18,Write,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c18__user24__1-2-3,user24,18,Write,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c19__user4__6-1-2,user4,19,Make_a_phone_call,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c19__user4__6-1-3,user4,19,Make_a_phone_call,6,Drink_water,False,6,False,6,False,6,False,6,False,6,False
train__c19__user23__4-2-3,user23,19,Make_a_phone_call,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c19__user24__3-2-1,user24,19,Make_a_phone_call,19,Make_a_phone_call,True,19,True,19,True,19,True,19,True,19,True
train__c19__user24__3-2-2,user24,19,Make_a_phone_call,19,Make_a_phone_call,True,19,True,19,True,19,True,19,True,19,True
train__c19__user24__3-2-3,user24,19,Make_a_phone_call,19,Make_a_phone_call,True,19,True,19,True,19,True,19,True,19,True
train__c20__user17__1-2-2,user17,20,Check_the_time,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c20__user24__7-2-1,user24,20,Check_the_time,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c21__user4__4-1-1,user4,21,Read_documents,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c21__user4__4-1-2,user4,21,Read_documents,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c21__user17__4-1-1,user17,21,Read_documents,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c21__user17__4-1-2,user17,21,Read_documents,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c21__user17__4-1-3,user17,21,Read_documents,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c21__user23__4-1-1,user23,21,Read_documents,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c21__user23__4-1-2,user23,21,Read_documents,21,Read_documents,True,21,True,21,True,21,True,21,True,21,True
train__c21__user24__1-2-1,user24,21,Read_documents,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c21__user24__1-2-2,user24,21,Read_documents,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c21__user24__1-2-3,user24,21,Read_documents,21,Read_documents,True,21,True,21,True,21,True,21,True,21,True
train__c21__user24__7-2-1,user24,21,Read_documents,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c21__user24__7-2-2,user24,21,Read_documents,26,Play_games,False,26,False,26,False,26,False,26,False,26,False
train__c21__user24__7-2-3,user24,21,Read_documents,26,Play_games,False,26,False,26,False,26,False,26,False,26,False
train__c22__user4__4-1-1,user4,22,Turn_pages,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c22__user4__4-1-2,user4,22,Turn_pages,22,Turn_pages,True,22,True,22,True,22,True,22,True,22,True
train__c22__user4__4-1-3,user4,22,Turn_pages,22,Turn_pages,True,22,True,22,True,22,True,22,True,22,True
train__c22__user24__1-2-1,user24,22,Turn_pages,22,Turn_pages,True,22,True,22,True,22,True,22,True,22,True
train__c22__user24__1-2-2,user24,22,Turn_pages,22,Turn_pages,True,22,True,22,True,22,True,22,True,22,True
train__c22__user24__1-2-3,user24,22,Turn_pages,22,Turn_pages,True,22,True,22,True,22,True,22,True,22,True
train__c22__user24__7-2-1,user24,22,Turn_pages,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c22__user24__7-2-2,user24,22,Turn_pages,26,Play_games,False,26,False,26,False,26,False,26,False,26,False
train__c22__user24__7-2-3,user24,22,Turn_pages,26,Play_games,False,26,False,26,False,26,False,26,False,26,False
train__c23__user17__6-2-1,user17,23,Listen_to_music_with_headphones,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c23__user23__4-2-1,user23,23,Listen_to_music_with_headphones,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c23__user23__4-2-2,user23,23,Listen_to_music_with_headphones,27,Take_a_selfie,False,27,False,27,False,27,False,27,False,27,False
train__c24__user4__3-2-1,user4,24,Use_a_mobile_phone,21,Read_documents,False,21,False,21,False,21,False,21,False,21,False
train__c24__user4__3-2-2,user4,24,Use_a_mobile_phone,11,Peel_fruits,False,11,False,11,False,11,False,11,False,8,False
train__c24__user4__3-2-3,user4,24,Use_a_mobile_phone,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c24__user4__6-1-1,user4,24,Use_a_mobile_phone,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c24__user4__6-1-2,user4,24,Use_a_mobile_phone,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c24__user4__6-1-3,user4,24,Use_a_mobile_phone,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c24__user17__1-2-3,user17,24,Use_a_mobile_phone,26,Play_games,False,26,False,26,False,26,False,26,False,26,False
train__c24__user23__7-3-1,user23,24,Use_a_mobile_phone,24,Use_a_mobile_phone,True,24,True,24,True,24,True,24,True,24,True
train__c24__user23__7-3-2,user23,24,Use_a_mobile_phone,24,Use_a_mobile_phone,True,24,True,24,True,24,True,24,True,24,True
train__c24__user23__7-3-3,user23,24,Use_a_mobile_phone,19,Make_a_phone_call,False,19,False,19,False,19,False,19,False,19,False
train__c24__user24__4-1-1,user24,24,Use_a_mobile_phone,25,Watch_TV,False,25,False,25,False,25,False,25,False,25,False
train__c24__user24__4-1-2,user24,24,Use_a_mobile_phone,22,Turn_pages,False,22,False,22,False,22,False,22,False,25,False
train__c24__user24__4-1-3,user24,24,Use_a_mobile_phone,26,Play_games,False,26,False,26,False,26,False,26,False,26,False
train__c24__user24__5-1-1,user24,24,Use_a_mobile_phone,24,Use_a_mobile_phone,True,24,True,24,True,24,True,24,True,24,True
train__c24__user24__5-1-2,user24,24,Use_a_mobile_phone,24,Use_a_mobile_phone,True,24,True,24,True,24,True,24,True,24,True
train__c25__user24__2-2-2,user24,25,Watch_TV,25,Watch_TV,True,25,True,25,True,25,True,25,True,25,True
train__c25__user24__2-2-3,user24,25,Watch_TV,25,Watch_TV,True,25,True,25,True,25,True,25,True,25,True
train__c25__user24__5-3-1,user24,25,Watch_TV,19,Make_a_phone_call,False,19,False,19,False,19,False,19,False,19,False
train__c26__user23__5-1-1,user23,26,Play_games,25,Watch_TV,False,25,False,25,False,25,False,25,False,25,False
train__c26__user23__5-1-2,user23,26,Play_games,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c26__user23__5-1-3,user23,26,Play_games,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c26__user24__4-1-1,user24,26,Play_games,25,Watch_TV,False,25,False,25,False,25,False,25,False,25,False
train__c26__user24__4-1-2,user24,26,Play_games,22,Turn_pages,False,22,False,22,False,25,False,25,False,25,False
train__c26__user24__4-1-3,user24,26,Play_games,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c26__user24__4-3-1,user24,26,Play_games,26,Play_games,True,26,True,26,True,26,True,26,True,26,True
train__c26__user24__4-3-2,user24,26,Play_games,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c26__user24__4-3-3,user24,26,Play_games,26,Play_games,True,26,True,26,True,26,True,26,True,26,True
train__c26__user24__5-3-1,user24,26,Play_games,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c26__user24__5-3-2,user24,26,Play_games,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c26__user24__5-3-3,user24,26,Play_games,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c27__user4__3-2-3,user4,27,Take_a_selfie,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c27__user17__1-2-1,user17,27,Take_a_selfie,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c27__user17__1-2-2,user17,27,Take_a_selfie,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c27__user17__1-2-3,user17,27,Take_a_selfie,26,Play_games,False,26,False,26,False,26,False,26,False,26,False
train__c27__user23__3-2-2,user23,27,Take_a_selfie,6,Drink_water,False,6,False,6,False,6,False,6,False,6,False
train__c27__user23__4-2-1,user23,27,Take_a_selfie,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c27__user23__4-2-2,user23,27,Take_a_selfie,27,Take_a_selfie,True,27,True,27,True,27,True,27,True,27,True
train__c27__user24__1-1-1,user24,27,Take_a_selfie,27,Take_a_selfie,True,27,True,27,True,27,True,27,True,27,True
train__c27__user24__1-1-2,user24,27,Take_a_selfie,27,Take_a_selfie,True,27,True,27,True,27,True,27,True,27,True
train__c27__user24__1-1-3,user24,27,Take_a_selfie,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c28__user4__3-2-2,user4,28,Jog_in_place,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c29__user23__6-1-1,user23,29,Do_squats,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c31__user23__6-1-3,user23,31,Do_stretching_exercises,27,Take_a_selfie,False,27,False,27,False,27,False,27,False,27,False
train__c35__user23__5-3-2,user23,35,Do_lunges,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c37__user4__7-1-1,user4,37,Take_medicine,37,Take_medicine,True,37,True,37,True,37,True,37,True,37,True
train__c37__user4__7-1-3,user4,37,Take_medicine,37,Take_medicine,True,37,True,37,True,37,True,37,True,37,True
train__c37__user23__7-1-1,user23,37,Take_medicine,24,Use_a_mobile_phone,False,24,False,24,False,24,False,24,False,24,False
train__c37__user23__7-1-3,user23,37,Take_medicine,18,Write,False,18,False,18,False,18,False,18,False,18,False
train__c37__user23__7-2-1,user23,37,Take_medicine,27,Take_a_selfie,False,27,False,27,False,27,False,27,False,27,False
train__c37__user23__7-2-3,user23,37,Take_medicine,27,Take_a_selfie,False,27,False,27,False,27,False,27,False,27,False
train__c37__user24__5-2-1,user24,37,Take_medicine,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c37__user24__5-2-2,user24,37,Take_medicine,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c37__user24__5-2-3,user24,37,Take_medicine,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c37__user24__7-1-1,user24,37,Take_medicine,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c37__user24__7-1-2,user24,37,Take_medicine,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c37__user24__7-1-3,user24,37,Take_medicine,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c38__user23__7-1-2,user23,38,Massage_oneself,7,Eat_food,False,7,False,7,False,7,False,7,False,7,False
train__c38__user24__4-3-2,user24,38,Massage_oneself,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c38__user24__4-3-3,user24,38,Massage_oneself,22,Turn_pages,False,22,False,22,False,22,False,22,False,22,False
train__c38__user24__7-1-1,user24,38,Massage_oneself,27,Take_a_selfie,False,27,False,27,False,27,False,27,False,27,False
train__c38__user24__7-1-2,user24,38,Massage_oneself,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c38__user24__7-1-3,user24,38,Massage_oneself,27,Take_a_selfie,False,27,False,27,False,27,False,27,False,27,False
train__c39__user23__7-2-1,user23,39,Take_body_temperature,39,Take_body_temperature,True,39,True,39,True,39,True,39,True,39,True
train__c39__user24__7-1-1,user24,39,Take_body_temperature,39,Take_body_temperature,True,39,True,39,True,39,True,39,True,39,True
train__c39__user24__7-1-2,user24,39,Take_body_temperature,39,Take_body_temperature,True,39,True,39,True,39,True,39,True,39,True
train__c39__user24__7-1-3,user24,39,Take_body_temperature,39,Take_body_temperature,True,39,True,39,True,39,True,39,True,39,True
