sample_id,split,class_id,action_name,user_id,trial_id,depth_frames,ir_frames,paired_frames,depth_duplicate_keys,ir_duplicate_keys,depth_unparsed,ir_unparsed,complete_pairing,reason
train__c06__user5__7-2-2,train,6,Drink_water,user5,7-2-2,24,24,24,0,0,0,0,True,
train__c06__user5__7-2-3,train,6,Drink_water,user5,7-2-3,20,20,20,0,0,0,0,True,
train__c06__user6__1-2-1,train,6,Drink_water,user6,1-2-1,57,57,57,0,0,0,0,True,
train__c06__user6__1-2-2,train,6,Drink_water,user6,1-2-2,55,55,55,0,0,0,0,True,
train__c06__user6__1-2-3,train,6,Drink_water,user6,1-2-3,36,36,36,0,0,0,0,True,
train__c06__user6__3-2-1,train,6,Drink_water,user6,3-2-1,44,44,44,0,0,0,0,True,
train__c06__user6__3-2-2,train,6,Drink_water,user6,3-2-2,31,31,31,0,0,0,0,True,
train__c06__user6__3-2-3,train,6,Drink_water,user6,3-2-3,19,19,19,0,0,0,0,True,
train__c06__user6__5-3-1,train,6,Drink_water,user6,5-3-1,70,70,70,0,0,0,0,True,
train__c06__user6__5-3-2,train,6,Drink_water,user6,5-3-2,72,72,72,0,0,0,0,True,
train__c06__user6__5-3-3,train,6,Drink_water,user6,5-3-3,45,45,45,0,0,0,0,True,
train__c06__user6__6-2-1,train,6,Drink_water,user6,6-2-1,35,35,35,0,0,0,0,True,
train__c06__user6__6-2-2,train,6,Drink_water,user6,6-2-2,18,18,18,0,0,0,0,True,
train__c06__user6__6-2-3,train,6,Drink_water,user6,6-2-3,20,20,20,0,0,0,0,True,
train__c06__user7__5-2-1,train,6,Drink_water,user7,5-2-1,33,33,33,0,0,0,0,True,
train__c06__user7__5-2-2,train,6,Drink_water,user7,5-2-2,16,16,16,0,0,0,0,True,
train__c06__user7__5-2-3,train,6,Drink_water,user7,5-2-3,11,11,11,0,0,0,0,True,
train__c06__user8__6-2-1,train,6,Drink_water,user8,6-2-1,24,24,24,0,0,0,0,True,
train__c06__user8__6-2-2,train,6,Drink_water,user8,6-2-2,16,16,16,0,0,0,0,True,
train__c06__user8__6-2-3,train,6,Drink_water,user8,6-2-3,26,26,26,0,0,0,0,True,
train__c06__user9__3-2-1,train,6,Drink_water,user9,3-2-1,36,36,36,0,0,0,0,True,
train__c06__user9__3-2-2,train,6,Drink_water,user9,3-2-2,24,24,24,0,0,0,0,True,
train__c06__user9__3-2-3,train,6,Drink_water,user9,3-2-3,19,19,19,0,0,0,0,True,
train__c06__user9__7-2-1,train,6,Drink_water,user9,7-2-1,15,15,15,0,0,0,0,True,
train__c06__user9__7-2-2,train,6,Drink_water,user9,7-2-2,9,9,9,0,0,0,0,True,
train__c06__user9__7-2-3,train,6,Drink_water,user9,7-2-3,14,14,14,0,0,0,0,True,
train__c07__user16__1-2-1,train,7,Eat_food,user16,1-2-1,22,22,22,0,0,0,0,True,
train__c07__user16__1-2-2,train,7,Eat_food,user16,1-2-2,26,26,26,0,0,0,0,True,
train__c07__user16__1-2-3,train,7,Eat_food,user16,1-2-3,23,23,23,0,0,0,0,True,
train__c07__user16__5-2-1,train,7,Eat_food,user16,5-2-1,28,28,28,0,0,0,0,True,
train__c07__user16__5-2-2,train,7,Eat_food,user16,5-2-2,32,32,32,0,0,0,0,True,
train__c07__user16__5-2-3,train,7,Eat_food,user16,5-2-3,16,16,16,0,0,0,0,True,
train__c07__user16__6-2-1,train,7,Eat_food,user16,6-2-1,23,23,23,0,0,0,0,True,
train__c07__user16__6-2-2,train,7,Eat_food,user16,6-2-2,29,29,29,0,0,0,0,True,
train__c07__user16__6-2-3,train,7,Eat_food,user16,6-2-3,35,35,35,0,0,0,0,True,
train__c07__user16__7-2-1,train,7,Eat_food,user16,7-2-1,41,41,41,0,0,0,0,True,
train__c07__user16__7-2-2,train,7,Eat_food,user16,7-2-2,21,21,21,0,0,0,0,True,
train__c07__user16__7-2-3,train,7,Eat_food,user16,7-2-3,27,27,27,0,0,0,0,True,
train__c07__user18__7-2-1,train,7,Eat_food,user18,7-2-1,19,19,19,0,0,0,0,True,
train__c07__user18__7-2-2,train,7,Eat_food,user18,7-2-2,12,12,12,0,0,0,0,True,
train__c07__user18__7-2-3,train,7,Eat_food,user18,7-2-3,26,26,26,0,0,0,0,True,
train__c07__user19__7-2-1,train,7,Eat_food,user19,7-2-1,23,23,23,0,0,0,0,True,
train__c07__user19__7-2-2,train,7,Eat_food,user19,7-2-2,26,26,26,0,0,0,0,True,
train__c07__user19__7-2-3,train,7,Eat_food,user19,7-2-3,20,20,20,0,0,0,0,True,
train__c07__user1__1-2-1,train,7,Eat_food,user1,1-2-1,55,55,55,0,0,0,0,True,
train__c07__user1__1-2-2,train,7,Eat_food,user1,1-2-2,55,55,55,0,0,0,0,True,
train__c07__user1__3-1-1,train,7,Eat_food,user1,3-1-1,37,37,37,0,0,0,0,True,
train__c07__user1__3-1-2,train,7,Eat_food,user1,3-1-2,29,29,29,0,0,0,0,True,
train__c07__user1__3-1-3,train,7,Eat_food,user1,3-1-3,15,15,15,0,0,0,0,True,
train__c07__user1__4-1-1,train,7,Eat_food,user1,4-1-1,92,92,92,0,0,0,0,True,
train__c07__user1__4-1-2,train,7,Eat_food,user1,4-1-2,84,84,84,0,0,0,0,True,
train__c07__user1__4-1-3,train,7,Eat_food,user1,4-1-3,45,45,45,0,0,0,0,True,
train__c07__user1__6-1-1,train,7,Eat_food,user1,6-1-1,27,27,27,0,0,0,0,True,
train__c07__user1__6-1-2,train,7,Eat_food,user1,6-1-2,33,33,33,0,0,0,0,True,
train__c07__user1__6-1-3,train,7,Eat_food,user1,6-1-3,19,19,19,0,0,0,0,True,
train__c07__user20__2-1-1,train,7,Eat_food,user20,2-1-1,34,34,34,0,0,0,0,True,
train__c07__user20__2-1-2,train,7,Eat_food,user20,2-1-2,39,39,39,0,0,0,0,True,
train__c07__user20__2-1-3,train,7,Eat_food,user20,2-1-3,14,14,14,0,0,0,0,True,
train__c07__user20__3-1-1,train,7,Eat_food,user20,3-1-1,46,46,46,0,0,0,0,True,
train__c07__user20__3-1-2,train,7,Eat_food,user20,3-1-2,54,54,54,0,0,0,0,True,
train__c07__user20__3-1-3,train,7,Eat_food,user20,3-1-3,29,29,29,0,0,0,0,True,
train__c07__user20__7-1-1,train,7,Eat_food,user20,7-1-1,25,25,25,0,0,0,0,True,
train__c07__user20__7-1-2,train,7,Eat_food,user20,7-1-2,26,26,26,0,0,0,0,True,
train__c07__user20__7-1-3,train,7,Eat_food,user20,7-1-3,26,26,26,0,0,0,0,True,
train__c07__user21__7-1-1,train,7,Eat_food,user21,7-1-1,16,16,16,0,0,0,0,True,
train__c07__user21__7-1-2,train,7,Eat_food,user21,7-1-2,12,12,12,0,0,0,0,True,
train__c07__user21__7-1-3,train,7,Eat_food,user21,7-1-3,17,17,17,0,0,0,0,True,
train__c07__user22__3-1-1,train,7,Eat_food,user22,3-1-1,22,22,22,0,0,0,0,True,
train__c07__user22__3-1-2,train,7,Eat_food,user22,3-1-2,22,22,22,0,0,0,0,True,
train__c07__user22__3-3-1,train,7,Eat_food,user22,3-3-1,35,35,35,0,0,0,0,True,
train__c07__user22__3-3-2,train,7,Eat_food,user22,3-3-2,21,21,21,0,0,0,0,True,
train__c07__user22__3-3-3,train,7,Eat_food,user22,3-3-3,9,9,9,0,0,0,0,True,
train__c07__user22__4-3-1,train,7,Eat_food,user22,4-3-1,28,28,28,0,0,0,0,True,
train__c07__user22__4-3-2,train,7,Eat_food,user22,4-3-2,20,20,20,0,0,0,0,True,
train__c07__user22__4-3-3,train,7,Eat_food,user22,4-3-3,16,16,16,0,0,0,0,True,
train__c07__user22__6-2-1,train,7,Eat_food,user22,6-2-1,1,1,1,0,0,0,0,True,
train__c07__user22__6-2-2,train,7,Eat_food,user22,6-2-2,13,13,13,0,0,0,0,True,
train__c07__user22__6-2-3,train,7,Eat_food,user22,6-2-3,8,8,8,0,0,0,0,True,
train__c07__user2__1-2-1,train,7,Eat_food,user2,1-2-1,26,26,26,0,0,0,0,True,
train__c07__user2__1-2-2,train,7,Eat_food,user2,1-2-2,7,7,7,0,0,0,0,True,
train__c07__user2__1-2-3,train,7,Eat_food,user2,1-2-3,4,4,4,0,0,0,0,True,
train__c07__user2__2-1-1,train,7,Eat_food,user2,2-1-1,9,9,9,0,0,0,0,True,
train__c07__user2__2-1-2,train,7,Eat_food,user2,2-1-2,5,5,5,0,0,0,0,True,
train__c07__user2__2-1-3,train,7,Eat_food,user2,2-1-3,4,4,4,0,0,0,0,True,
train__c07__user2__2-2-1,train,7,Eat_food,user2,2-2-1,17,17,17,0,0,0,0,True,
train__c07__user2__2-2-2,train,7,Eat_food,user2,2-2-2,18,18,18,0,0,0,0,True,
train__c07__user2__2-2-3,train,7,Eat_food,user2,2-2-3,11,11,11,0,0,0,0,True,
train__c07__user2__4-2-1,train,7,Eat_food,user2,4-2-1,9,9,9,0,0,0,0,True,
train__c07__user2__4-2-2,train,7,Eat_food,user2,4-2-2,12,12,12,0,0,0,0,True,
train__c07__user2__4-2-3,train,7,Eat_food,user2,4-2-3,4,4,4,0,0,0,0,True,
train__c07__user2__7-2-1,train,7,Eat_food,user2,7-2-1,15,15,15,0,0,0,0,True,
train__c07__user2__7-2-2,train,7,Eat_food,user2,7-2-2,8,8,8,0,0,0,0,True,
train__c07__user2__7-2-3,train,7,Eat_food,user2,7-2-3,14,14,14,0,0,0,0,True,
train__c07__user3__4-1-1,train,7,Eat_food,user3,4-1-1,53,53,53,0,0,0,0,True,
train__c07__user3__4-1-2,train,7,Eat_food,user3,4-1-2,13,13,13,0,0,0,0,True,
train__c07__user3__4-1-3,train,7,Eat_food,user3,4-1-3,4,4,4,0,0,0,0,True,
train__c07__user3__5-2-1,train,7,Eat_food,user3,5-2-1,19,19,19,0,0,0,0,True,
train__c07__user3__5-2-2,train,7,Eat_food,user3,5-2-2,10,10,10,0,0,0,0,True,
train__c07__user3__5-2-3,train,7,Eat_food,user3,5-2-3,19,19,19,0,0,0,0,True,
train__c07__user3__6-1-1,train,7,Eat_food,user3,6-1-1,7,7,7,0,0,0,0,True,
train__c07__user3__6-1-2,train,7,Eat_food,user3,6-1-2,11,11,11,0,0,0,0,True,
train__c07__user3__6-1-3,train,7,Eat_food,user3,6-1-3,5,5,5,0,0,0,0,True,
train__c07__user3__7-1-1,train,7,Eat_food,user3,7-1-1,14,14,14,0,0,0,0,True,
train__c07__user3__7-1-2,train,7,Eat_food,user3,7-1-2,16,16,16,0,0,0,0,True,
train__c07__user3__7-1-3,train,7,Eat_food,user3,7-1-3,6,6,6,0,0,0,0,True,
train__c07__user5__1-2-1,train,7,Eat_food,user5,1-2-1,25,25,25,0,0,0,0,True,
train__c07__user5__1-2-2,train,7,Eat_food,user5,1-2-2,54,54,54,0,0,0,0,True,
train__c07__user5__1-2-3,train,7,Eat_food,user5,1-2-3,22,22,22,0,0,0,0,True,
train__c07__user5__2-1-1,train,7,Eat_food,user5,2-1-1,38,38,38,0,0,0,0,True,
train__c07__user5__2-1-2,train,7,Eat_food,user5,2-1-2,36,36,36,0,0,0,0,True,
train__c07__user5__2-1-3,train,7,Eat_food,user5,2-1-3,39,39,39,0,0,0,0,True,
train__c07__user5__3-2-1,train,7,Eat_food,user5,3-2-1,42,42,42,0,0,0,0,True,
train__c07__user5__3-2-2,train,7,Eat_food,user5,3-2-2,55,55,55,0,0,0,0,True,
train__c07__user5__3-2-3,train,7,Eat_food,user5,3-2-3,51,51,51,0,0,0,0,True,
train__c07__user5__6-2-1,train,7,Eat_food,user5,6-2-1,42,42,42,0,0,0,0,True,
train__c07__user5__6-2-2,train,7,Eat_food,user5,6-2-2,52,52,52,0,0,0,0,True,
train__c07__user5__6-2-3,train,7,Eat_food,user5,6-2-3,34,34,34,0,0,0,0,True,
train__c07__user6__1-2-1,train,7,Eat_food,user6,1-2-1,32,32,32,0,0,0,0,True,
train__c07__user6__1-2-2,train,7,Eat_food,user6,1-2-2,20,20,20,0,0,0,0,True,
train__c07__user6__1-2-3,train,7,Eat_food,user6,1-2-3,9,9,9,0,0,0,0,True,
train__c07__user6__5-2-1,train,7,Eat_food,user6,5-2-1,17,17,17,0,0,0,0,True,
train__c07__user6__5-2-2,train,7,Eat_food,user6,5-2-2,15,15,15,0,0,0,0,True,
train__c07__user6__5-2-3,train,7,Eat_food,user6,5-2-3,27,27,27,0,0,0,0,True,
train__c07__user6__6-2-1,train,7,Eat_food,user6,6-2-1,21,21,21,0,0,0,0,True,
train__c07__user6__6-2-3,train,7,Eat_food,user6,6-2-3,26,26,26,0,0,0,0,True,
train__c07__user6__7-2-1,train,7,Eat_food,user6,7-2-1,40,40,40,0,0,0,0,True,
train__c07__user6__7-2-2,train,7,Eat_food,user6,7-2-2,34,34,34,0,0,0,0,True,
train__c07__user6__7-2-3,train,7,Eat_food,user6,7-2-3,30,30,30,0,0,0,0,True,
train__c07__user7__1-2-1,train,7,Eat_food,user7,1-2-1,21,21,21,0,0,0,0,True,
train__c07__user7__1-2-2,train,7,Eat_food,user7,1-2-2,12,12,12,0,0,0,0,True,
train__c07__user7__1-2-3,train,7,Eat_food,user7,1-2-3,17,17,17,0,0,0,0,True,
train__c07__user7__2-2-1,train,7,Eat_food,user7,2-2-1,25,25,25,0,0,0,0,True,
train__c07__user7__2-2-2,train,7,Eat_food,user7,2-2-2,24,24,24,0,0,0,0,True,
train__c07__user7__2-2-3,train,7,Eat_food,user7,2-2-3,25,25,25,0,0,0,0,True,
train__c07__user7__3-2-1,train,7,Eat_food,user7,3-2-1,13,13,13,0,0,0,0,True,
train__c07__user7__3-2-2,train,7,Eat_food,user7,3-2-2,12,12,12,0,0,0,0,True,
train__c07__user7__3-2-3,train,7,Eat_food,user7,3-2-3,10,10,10,0,0,0,0,True,
train__c07__user7__5-3-1,train,7,Eat_food,user7,5-3-1,32,32,32,0,0,0,0,True,
train__c07__user7__5-3-2,train,7,Eat_food,user7,5-3-2,23,23,23,0,0,0,0,True,
train__c07__user7__5-3-3,train,7,Eat_food,user7,5-3-3,16,16,16,0,0,0,0,True,
train__c07__user7__7-2-1,train,7,Eat_food,user7,7-2-1,26,26,26,0,0,0,0,True,
train__c07__user7__7-2-2,train,7,Eat_food,user7,7-2-2,17,17,17,0,0,0,0,True,
train__c07__user8__7-2-1,train,7,Eat_food,user8,7-2-1,48,48,48,0,0,0,0,True,
train__c07__user8__7-2-2,train,7,Eat_food,user8,7-2-2,50,50,50,0,0,0,0,True,
train__c07__user8__7-2-3,train,7,Eat_food,user8,7-2-3,18,18,18,0,0,0,0,True,
train__c07__user9__7-2-1,train,7,Eat_food,user9,7-2-1,3,3,3,0,0,0,0,True,
train__c07__user9__7-2-2,train,7,Eat_food,user9,7-2-2,4,4,4,0,0,0,0,True,
train__c07__user9__7-2-3,train,7,Eat_food,user9,7-2-3,6,6,6,0,0,0,0,True,
train__c10__user16__1-2-1,train,10,Stir_drinks,user16,1-2-1,21,21,21,0,0,0,0,True,
train__c10__user16__1-2-2,train,10,Stir_drinks,user16,1-2-2,26,26,26,0,0,0,0,True,
train__c10__user16__1-2-3,train,10,Stir_drinks,user16,1-2-3,15,15,15,0,0,0,0,True,
train__c10__user16__2-1-1,train,10,Stir_drinks,user16,2-1-1,31,31,31,0,0,0,0,True,
train__c10__user16__2-1-2,train,10,Stir_drinks,user16,2-1-2,18,18,18,0,0,0,0,True,
train__c10__user16__2-1-3,train,10,Stir_drinks,user16,2-1-3,14,14,14,0,0,0,0,True,
train__c10__user16__7-2-1,train,10,Stir_drinks,user16,7-2-1,39,39,39,0,0,0,0,True,
train__c10__user16__7-2-2,train,10,Stir_drinks,user16,7-2-2,38,38,38,0,0,0,0,True,
train__c10__user16__7-2-3,train,10,Stir_drinks,user16,7-2-3,20,20,20,0,0,0,0,True,
train__c10__user18__3-2-1,train,10,Stir_drinks,user18,3-2-1,38,38,38,0,0,0,0,True,
train__c10__user18__3-2-2,train,10,Stir_drinks,user18,3-2-2,17,17,17,0,0,0,0,True,
train__c10__user18__3-2-3,train,10,Stir_drinks,user18,3-2-3,18,18,18,0,0,0,0,True,
train__c10__user18__4-2-1,train,10,Stir_drinks,user18,4-2-1,33,33,33,0,0,0,0,True,
train__c10__user18__4-2-2,train,10,Stir_drinks,user18,4-2-2,10,10,10,0,0,0,0,True,
train__c10__user18__4-2-3,train,10,Stir_drinks,user18,4-2-3,14,14,14,0,0,0,0,True,
train__c10__user18__7-2-1,train,10,Stir_drinks,user18,7-2-1,13,13,13,0,0,0,0,True,
train__c10__user18__7-2-2,train,10,Stir_drinks,user18,7-2-2,18,18,18,0,0,0,0,True,
train__c10__user18__7-2-3,train,10,Stir_drinks,user18,7-2-3,14,14,14,0,0,0,0,True,
train__c10__user19__2-1-1,train,10,Stir_drinks,user19,2-1-1,41,41,41,0,0,0,0,True,
train__c10__user19__2-1-2,train,10,Stir_drinks,user19,2-1-2,30,30,30,0,0,0,0,True,
train__c10__user19__2-1-3,train,10,Stir_drinks,user19,2-1-3,8,8,8,0,0,0,0,True,
train__c10__user19__3-2-1,train,10,Stir_drinks,user19,3-2-1,13,13,13,0,0,0,0,True,
train__c10__user19__3-2-2,train,10,Stir_drinks,user19,3-2-2,7,7,7,0,0,0,0,True,
train__c10__user19__3-2-3,train,10,Stir_drinks,user19,3-2-3,6,6,6,0,0,0,0,True,
train__c10__user19__7-2-1,train,10,Stir_drinks,user19,7-2-1,15,15,15,0,0,0,0,True,
train__c10__user19__7-2-2,train,10,Stir_drinks,user19,7-2-2,20,20,20,0,0,0,0,True,
train__c10__user19__7-2-3,train,10,Stir_drinks,user19,7-2-3,16,16,16,0,0,0,0,True,
train__c10__user1__2-1-1,train,10,Stir_drinks,user1,2-1-1,0,0,0,0,0,37,37,False,depth_unparsed=37; ir_unparsed=37
train__c10__user1__2-1-2,train,10,Stir_drinks,user1,2-1-2,24,24,24,0,0,0,0,True,
train__c10__user1__2-1-3,train,10,Stir_drinks,user1,2-1-3,25,25,25,0,0,0,0,True,
train__c10__user1__3-1-1,train,10,Stir_drinks,user1,3-1-1,36,36,36,0,0,0,0,True,
train__c10__user1__3-1-2,train,10,Stir_drinks,user1,3-1-2,37,37,37,0,0,0,0,True,
train__c10__user1__3-1-3,train,10,Stir_drinks,user1,3-1-3,17,17,17,0,0,0,0,True,
train__c10__user1__4-1-1,train,10,Stir_drinks,user1,4-1-1,26,26,26,0,0,0,0,True,
train__c10__user20__3-1-1,train,10,Stir_drinks,user20,3-1-1,29,29,29,0,0,0,0,True,
train__c10__user20__3-1-2,train,10,Stir_drinks,user20,3-1-2,42,42,42,0,0,0,0,True,
train__c10__user20__3-1-3,train,10,Stir_drinks,user20,3-1-3,21,21,21,0,0,0,0,True,
train__c10__user20__5-1-1,train,10,Stir_drinks,user20,5-1-1,9,9,9,0,0,0,0,True,
train__c10__user20__5-1-2,train,10,Stir_drinks,user20,5-1-2,21,21,21,0,0,0,0,True,
train__c10__user20__5-1-3,train,10,Stir_drinks,user20,5-1-3,33,33,33,0,0,0,0,True,
train__c10__user20__6-3-1,train,10,Stir_drinks,user20,6-3-1,29,29,29,0,0,0,0,True,
train__c10__user20__6-3-2,train,10,Stir_drinks,user20,6-3-2,16,16,16,0,0,0,0,True,
train__c10__user20__6-3-3,train,10,Stir_drinks,user20,6-3-3,25,25,25,0,0,0,0,True,
train__c10__user20__7-1-1,train,10,Stir_drinks,user20,7-1-1,31,31,31,0,0,0,0,True,
train__c10__user20__7-1-2,train,10,Stir_drinks,user20,7-1-2,28,28,28,0,0,0,0,True,
