source_class,source_action,target_class,target_action,count_best_accuracy,count_best_macro,delta_macro_minus_accuracy
28,Jog_in_place,12,Sweep_the_floor,1,0,-1
28,Jog_in_place,31,Do_stretching_exercises,1,0,-1
28,Jog_in_place,32,Stand_up,1,0,-1
29,Do_squats,5,Put_on_clothes,1,0,-1
31,Do_stretching_exercises,16,Fold_clothes,1,0,-1
31,Do_stretching_exercises,36,Walk,1,0,-1
35,Do_lunges,27,Take_a_selfie,1,0,-1
37,Take_medicine,5,Put_on_clothes,1,0,-1
37,Take_medicine,22,Turn_pages,1,0,-1
37,Take_medicine,23,Listen_to_music_with_headphones,1,0,-1
37,Take_medicine,32,Stand_up,1,0,-1
37,Take_medicine,34,Sit_down,1,0,-1
38,Massage_oneself,20,Check_the_time,1,0,-1
38,Massage_oneself,26,Play_games,1,0,-1
39,Take_body_temperature,16,Fold_clothes,1,0,-1
39,Take_body_temperature,27,Take_a_selfie,1,0,-1
39,Take_body_temperature,34,Sit_down,1,0,-1
23,Listen_to_music_with_headphones,6,Drink_water,0,5,5
21,Read_documents,22,Turn_pages,0,4,4
32,Stand_up,36,Walk,0,4,4
5,Put_on_clothes,31,Do_stretching_exercises,0,3,3
9,Pour_drinks,10,Stir_drinks,0,3,3
21,Read_documents,8,Take_and_use_tableware,0,3,3
26,Play_games,10,Stir_drinks,0,3,3
26,Play_games,24,Use_a_mobile_phone,0,3,3
29,Do_squats,20,Check_the_time,0,3,3
1,Brush_teeth,2,Comb_hair,0,2,2
1,Brush_teeth,4,Wipe_hands,0,2,2
5,Put_on_clothes,28,Jog_in_place,0,2,2
7,Eat_food,39,Take_body_temperature,0,2,2
8,Take_and_use_tableware,15,Wipe_windows_and_tables,0,2,2
9,Pour_drinks,15,Wipe_windows_and_tables,0,2,2
10,Stir_drinks,15,Wipe_windows_and_tables,0,2,2
13,Mop_the_floor,39,Take_body_temperature,0,2,2
18,Write,15,Wipe_windows_and_tables,0,2,2
20,Check_the_time,6,Drink_water,0,2,2
22,Turn_pages,11,Peel_fruits,0,2,2
22,Turn_pages,15,Wipe_windows_and_tables,0,2,2
23,Listen_to_music_with_headphones,7,Eat_food,0,2,2
23,Listen_to_music_with_headphones,37,Take_medicine,0,2,2
24,Use_a_mobile_phone,7,Eat_food,0,2,2
24,Use_a_mobile_phone,10,Stir_drinks,0,2,2
25,Watch_TV,6,Drink_water,0,2,2
25,Watch_TV,27,Take_a_selfie,0,2,2
27,Take_a_selfie,31,Do_stretching_exercises,0,2,2
33,Lie_down,15,Wipe_windows_and_tables,0,2,2
34,Sit_down,15,Wipe_windows_and_tables,0,2,2
38,Massage_oneself,7,Eat_food,0,2,2
38,Massage_oneself,22,Turn_pages,0,2,2
39,Take_body_temperature,2,Comb_hair,0,2,2
2,Comb_hair,4,Wipe_hands,0,1,1
3,Take_off_clothes,26,Play_games,0,1,1
3,Take_off_clothes,28,Jog_in_place,0,1,1
4,Wipe_hands,14,Wipe_bowls,0,1,1
5,Put_on_clothes,20,Check_the_time,0,1,1
5,Put_on_clothes,23,Listen_to_music_with_headphones,0,1,1
5,Put_on_clothes,30,Do_jumping_jacks,0,1,1
5,Put_on_clothes,34,Sit_down,0,1,1
6,Drink_water,8,Take_and_use_tableware,0,1,1
8,Take_and_use_tableware,12,Sweep_the_floor,0,1,1
9,Pour_drinks,13,Mop_the_floor,0,1,1
9,Pour_drinks,17,Tap_the_keyboard,0,1,1
10,Stir_drinks,4,Wipe_hands,0,1,1
11,Peel_fruits,37,Take_medicine,0,1,1
12,Sweep_the_floor,31,Do_stretching_exercises,0,1,1
14,Wipe_bowls,15,Wipe_windows_and_tables,0,1,1
15,Wipe_windows_and_tables,32,Stand_up,0,1,1
16,Fold_clothes,23,Listen_to_music_with_headphones,0,1,1
16,Fold_clothes,27,Take_a_selfie,0,1,1
16,Fold_clothes,35,Do_lunges,0,1,1
17,Tap_the_keyboard,8,Take_and_use_tableware,0,1,1
17,Tap_the_keyboard,33,Lie_down,0,1,1
18,Write,20,Check_the_time,0,1,1
19,Make_a_phone_call,11,Peel_fruits,0,1,1
19,Make_a_phone_call,20,Check_the_time,0,1,1
22,Turn_pages,8,Take_and_use_tableware,0,1,1
23,Listen_to_music_with_headphones,13,Mop_the_floor,0,1,1
23,Listen_to_music_with_headphones,20,Check_the_time,0,1,1
23,Listen_to_music_with_headphones,28,Jog_in_place,0,1,1
24,Use_a_mobile_phone,20,Check_the_time,0,1,1
24,Use_a_mobile_phone,22,Turn_pages,0,1,1
25,Watch_TV,7,Eat_food,0,1,1
27,Take_a_selfie,6,Drink_water,0,1,1
27,Take_a_selfie,11,Peel_fruits,0,1,1
30,Do_jumping_jacks,31,Do_stretching_exercises,0,1,1
31,Do_stretching_exercises,28,Jog_in_place,0,1,1
32,Stand_up,3,Take_off_clothes,0,1,1
32,Stand_up,7,Eat_food,0,1,1
32,Stand_up,13,Mop_the_floor,0,1,1
32,Stand_up,20,Check_the_time,0,1,1
33,Lie_down,17,Tap_the_keyboard,0,1,1
35,Do_lunges,13,Mop_the_floor,0,1,1
35,Do_lunges,33,Lie_down,0,1,1
37,Take_medicine,1,Brush_teeth,0,1,1
37,Take_medicine,15,Wipe_windows_and_tables,0,1,1
37,Take_medicine,24,Use_a_mobile_phone,0,1,1
37,Take_medicine,31,Do_stretching_exercises,0,1,1
38,Massage_oneself,24,Use_a_mobile_phone,0,1,1
39,Take_body_temperature,5,Put_on_clothes,0,1,1
39,Take_body_temperature,23,Listen_to_music_with_headphones,0,1,1
