class_id,action_name,primary_group,checkpoint_sensitive,f1_best_accuracy,f1_best_macro,recall_best_accuracy,recall_best_macro,predicted_count_best_accuracy,predicted_count_best_macro,true_rank_mean_best_accuracy,true_rank_mean_best_macro,diagnostic_note
17,Tap_the_keyboard,usable,True,0.5454545454545454,0.47368421052631576,0.7058823529411765,0.5294117647058824,27,21,3.5294117647058822,5.294117647058823,Both checkpoints are similar or moderately checkpoint-sensitive.
4,Wipe_hands,usable,False,0.5517241379310345,0.5517241379310345,0.5333333333333333,0.5333333333333333,14,14,2.1333333333333333,2.4,Both checkpoints are similar or moderately checkpoint-sensitive.
29,Do_squats,usable,False,0.6086956521739131,0.56,0.4666666666666667,0.4666666666666667,8,10,5.8,4.533333333333333,Both checkpoints are similar or moderately checkpoint-sensitive.
28,Jog_in_place,stable_easy,True,0.6666666666666666,0.6428571428571429,0.5454545454545454,0.8181818181818182,7,17,3.0,1.2727272727272727,Both checkpoints are similar or moderately checkpoint-sensitive.
30,Do_jumping_jacks,stable_easy,True,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,12,9,1.0,1.1666666666666667,Both checkpoints are similar or moderately checkpoint-sensitive.
33,Lie_down,usable,False,0.6666666666666666,0.5454545454545454,0.5,0.5,3,5,6.833333333333333,4.5,Both checkpoints are similar or moderately checkpoint-sensitive.
34,Sit_down,stable_easy,True,0.725,0.7619047619047619,0.9354838709677419,0.7741935483870968,49,32,1.064516129032258,1.3225806451612903,Both checkpoints are similar or moderately checkpoint-sensitive.
32,Stand_up,stable_easy,True,0.8135593220338984,0.7111111111111111,1.0,0.6666666666666666,35,21,1.0,1.7083333333333333,Both checkpoints are similar or moderately checkpoint-sensitive.
0,Wash_face,stable_easy,False,0.8461538461538461,0.8571428571428571,0.9166666666666666,1.0,14,16,1.1666666666666667,1.0,Both checkpoints are similar or moderately checkpoint-sensitive.
36,Walk,stable_easy,False,0.9090909090909091,0.9333333333333333,0.9859154929577465,0.9859154929577465,83,79,1.0140845070422535,1.0140845070422535,Both checkpoints are similar or moderately checkpoint-sensitive.
