sample_id,split,class_id,action_name,user_id,trial_id,depth_frames,ir_frames,paired_frames,depth_unparsed,ir_unparsed,duplicate_pair_keys,duplicate_timestamps,unreadable_images,complete_pairing,reason
train__c03__user22__6-1-3,train,3,Take_off_clothes,user22,6-1-3,18,18,18,0,0,0,0,0,True,
train__c03__user22__7-2-1,train,3,Take_off_clothes,user22,7-2-1,50,50,50,0,0,0,0,0,True,
train__c03__user22__7-2-2,train,3,Take_off_clothes,user22,7-2-2,37,37,37,0,0,0,0,0,True,
train__c03__user22__7-2-3,train,3,Take_off_clothes,user22,7-2-3,11,11,11,0,0,0,0,0,True,
train__c03__user7__5-1-1,train,3,Take_off_clothes,user7,5-1-1,68,68,68,0,0,0,0,0,True,
train__c03__user7__5-1-2,train,3,Take_off_clothes,user7,5-1-2,76,76,76,0,0,0,0,0,True,
train__c03__user7__5-1-3,train,3,Take_off_clothes,user7,5-1-3,40,40,40,0,0,0,0,0,True,
train__c03__user7__6-1-1,train,3,Take_off_clothes,user7,6-1-1,18,18,18,0,0,0,0,0,True,
train__c03__user7__6-1-2,train,3,Take_off_clothes,user7,6-1-2,20,20,20,0,0,0,0,0,True,
train__c03__user7__6-1-3,train,3,Take_off_clothes,user7,6-1-3,18,18,18,0,0,0,0,0,True,
train__c03__user8__6-1-1,train,3,Take_off_clothes,user8,6-1-1,35,35,35,0,0,0,0,0,True,
train__c03__user8__6-1-2,train,3,Take_off_clothes,user8,6-1-2,25,25,25,0,0,0,0,0,True,
train__c03__user8__6-1-3,train,3,Take_off_clothes,user8,6-1-3,34,34,34,0,0,0,0,0,True,
train__c03__user8__7-1-1,train,3,Take_off_clothes,user8,7-1-1,37,37,37,0,0,0,0,0,True,
train__c03__user8__7-1-2,train,3,Take_off_clothes,user8,7-1-2,21,21,21,0,0,0,0,0,True,
train__c03__user8__7-1-3,train,3,Take_off_clothes,user8,7-1-3,11,11,11,0,0,0,0,0,True,
train__c03__user9__3-1-1,train,3,Take_off_clothes,user9,3-1-1,69,69,69,0,0,0,0,0,True,
train__c03__user9__3-1-2,train,3,Take_off_clothes,user9,3-1-2,59,59,59,0,0,0,0,0,True,
train__c03__user9__3-1-3,train,3,Take_off_clothes,user9,3-1-3,28,28,28,0,0,0,0,0,True,
train__c04__user16__2-2-1,train,4,Wipe_hands,user16,2-2-1,34,34,34,0,0,0,0,0,True,
train__c04__user16__2-2-2,train,4,Wipe_hands,user16,2-2-2,31,31,31,0,0,0,0,0,True,
train__c04__user16__2-2-3,train,4,Wipe_hands,user16,2-2-3,24,24,24,0,0,0,0,0,True,
train__c04__user18__1-1-1,train,4,Wipe_hands,user18,1-1-1,40,40,40,0,0,0,0,0,True,
train__c04__user18__1-1-2,train,4,Wipe_hands,user18,1-1-2,25,25,25,0,0,0,0,0,True,
train__c04__user18__1-1-3,train,4,Wipe_hands,user18,1-1-3,24,24,24,0,0,0,0,0,True,
train__c04__user18__7-1-1,train,4,Wipe_hands,user18,7-1-1,20,20,20,0,0,0,0,0,True,
train__c04__user18__7-1-2,train,4,Wipe_hands,user18,7-1-2,13,13,13,0,0,0,0,0,True,
train__c04__user18__7-1-3,train,4,Wipe_hands,user18,7-1-3,5,5,5,0,0,0,0,0,True,
train__c04__user19__1-1-1,train,4,Wipe_hands,user19,1-1-1,21,21,21,0,0,0,0,0,True,
train__c04__user19__1-1-2,train,4,Wipe_hands,user19,1-1-2,18,18,18,0,0,0,0,0,True,
train__c04__user19__1-1-3,train,4,Wipe_hands,user19,1-1-3,20,20,20,0,0,0,0,0,True,
train__c04__user19__5-2-1,train,4,Wipe_hands,user19,5-2-1,35,35,35,0,0,0,0,0,True,
train__c04__user19__5-2-2,train,4,Wipe_hands,user19,5-2-2,30,30,30,0,0,0,0,0,True,
train__c04__user19__5-2-3,train,4,Wipe_hands,user19,5-2-3,23,23,23,0,0,0,0,0,True,
train__c04__user1__1-1-1,train,4,Wipe_hands,user1,1-1-1,46,46,46,0,0,0,0,0,True,
train__c04__user20__6-2-1,train,4,Wipe_hands,user20,6-2-1,31,31,31,0,0,0,0,0,True,
train__c04__user20__6-2-2,train,4,Wipe_hands,user20,6-2-2,18,18,18,0,0,0,0,0,True,
train__c04__user20__6-2-3,train,4,Wipe_hands,user20,6-2-3,39,39,39,0,0,0,0,0,True,
train__c04__user21__1-1-1,train,4,Wipe_hands,user21,1-1-1,27,27,27,0,0,0,0,0,True,
train__c04__user21__1-1-2,train,4,Wipe_hands,user21,1-1-2,29,29,29,0,0,0,0,0,True,
train__c04__user21__1-1-3,train,4,Wipe_hands,user21,1-1-3,13,13,13,0,0,0,0,0,True,
train__c04__user21__7-2-1,train,4,Wipe_hands,user21,7-2-1,23,23,23,0,0,0,0,0,True,
train__c04__user21__7-2-2,train,4,Wipe_hands,user21,7-2-2,13,13,13,0,0,0,0,0,True,
train__c04__user21__7-2-3,train,4,Wipe_hands,user21,7-2-3,24,24,24,0,0,0,0,0,True,
train__c04__user22__1-1-2,train,4,Wipe_hands,user22,1-1-2,16,16,16,0,0,0,0,0,True,
train__c04__user22__1-1-3,train,4,Wipe_hands,user22,1-1-3,9,9,9,0,0,0,0,0,True,
train__c04__user22__6-2-1,train,4,Wipe_hands,user22,6-2-1,29,29,29,0,0,0,0,0,True,
train__c04__user22__6-2-2,train,4,Wipe_hands,user22,6-2-2,24,24,24,0,0,0,0,0,True,
train__c04__user22__6-2-3,train,4,Wipe_hands,user22,6-2-3,6,6,6,0,0,0,0,0,True,
train__c04__user2__2-2-1,train,4,Wipe_hands,user2,2-2-1,34,34,34,0,0,0,0,0,True,
train__c04__user2__2-2-2,train,4,Wipe_hands,user2,2-2-2,37,37,37,0,0,0,0,0,True,
train__c04__user2__2-2-3,train,4,Wipe_hands,user2,2-2-3,8,8,8,0,0,0,0,0,True,
train__c04__user2__7-3-3,train,4,Wipe_hands,user2,7-3-3,29,29,29,0,0,0,0,0,True,
train__c04__user6__2-2-1,train,4,Wipe_hands,user6,2-2-1,20,20,20,0,0,0,0,0,True,
train__c04__user6__2-2-2,train,4,Wipe_hands,user6,2-2-2,24,24,24,0,0,0,0,0,True,
train__c04__user6__2-2-3,train,4,Wipe_hands,user6,2-2-3,11,11,11,0,0,0,0,0,True,
train__c04__user7__1-1-1,train,4,Wipe_hands,user7,1-1-1,23,23,23,0,0,0,0,0,True,
train__c04__user7__1-1-2,train,4,Wipe_hands,user7,1-1-2,10,10,10,0,0,0,0,0,True,
train__c04__user7__1-1-3,train,4,Wipe_hands,user7,1-1-3,14,14,14,0,0,0,0,0,True,
train__c04__user7__7-2-1,train,4,Wipe_hands,user7,7-2-1,29,29,29,0,0,0,0,0,True,
train__c04__user7__7-2-2,train,4,Wipe_hands,user7,7-2-2,19,19,19,0,0,0,0,0,True,
train__c04__user7__7-2-3,train,4,Wipe_hands,user7,7-2-3,8,8,8,0,0,0,0,0,True,
train__c04__user8__1-1-1,train,4,Wipe_hands,user8,1-1-1,29,29,29,0,0,0,0,0,True,
train__c04__user8__1-1-2,train,4,Wipe_hands,user8,1-1-2,25,25,25,0,0,0,0,0,True,
train__c04__user8__1-1-3,train,4,Wipe_hands,user8,1-1-3,21,21,21,0,0,0,0,0,True,
train__c04__user8__7-1-1,train,4,Wipe_hands,user8,7-1-1,26,26,26,0,0,0,0,0,True,
train__c04__user8__7-1-2,train,4,Wipe_hands,user8,7-1-2,30,30,30,0,0,0,0,0,True,
train__c04__user8__7-1-3,train,4,Wipe_hands,user8,7-1-3,18,18,18,0,0,0,0,0,True,
train__c04__user9__1-1-1,train,4,Wipe_hands,user9,1-1-1,13,13,13,0,0,0,0,0,True,
train__c04__user9__1-1-2,train,4,Wipe_hands,user9,1-1-2,11,11,11,0,0,0,0,0,True,
train__c04__user9__1-1-3,train,4,Wipe_hands,user9,1-1-3,16,16,16,0,0,0,0,0,True,
train__c04__user9__5-2-1,train,4,Wipe_hands,user9,5-2-1,29,29,29,0,0,0,0,0,True,
train__c04__user9__5-2-2,train,4,Wipe_hands,user9,5-2-2,21,21,21,0,0,0,0,0,True,
train__c04__user9__5-2-3,train,4,Wipe_hands,user9,5-2-3,19,19,19,0,0,0,0,0,True,
train__c05__user18__6-1-1,train,5,Put_on_clothes,user18,6-1-1,43,43,43,0,0,0,0,0,True,
train__c05__user18__6-1-2,train,5,Put_on_clothes,user18,6-1-2,47,47,47,0,0,0,0,0,True,
train__c05__user18__6-1-3,train,5,Put_on_clothes,user18,6-1-3,39,39,39,0,0,0,0,0,True,
train__c05__user18__7-1-1,train,5,Put_on_clothes,user18,7-1-1,56,56,56,0,0,0,0,0,True,
train__c05__user18__7-1-2,train,5,Put_on_clothes,user18,7-1-2,39,39,39,0,0,0,0,0,True,
train__c05__user18__7-1-3,train,5,Put_on_clothes,user18,7-1-3,42,42,42,0,0,0,0,0,True,
train__c05__user19__1-1-1,train,5,Put_on_clothes,user19,1-1-1,117,117,117,0,0,0,0,0,True,
train__c05__user19__1-1-2,train,5,Put_on_clothes,user19,1-1-2,88,88,88,0,0,0,0,0,True,
train__c05__user19__1-1-3,train,5,Put_on_clothes,user19,1-1-3,59,59,59,0,0,0,0,0,True,
train__c05__user1__1-1-1,train,5,Put_on_clothes,user1,1-1-1,125,125,125,0,0,0,0,0,True,
train__c05__user1__1-1-2,train,5,Put_on_clothes,user1,1-1-2,53,53,53,0,0,0,0,0,True,
train__c05__user1__1-1-3,train,5,Put_on_clothes,user1,1-1-3,39,39,39,0,0,0,0,0,True,
train__c05__user21__6-1-1,train,5,Put_on_clothes,user21,6-1-1,85,85,85,0,0,0,0,0,True,
train__c05__user21__6-1-2,train,5,Put_on_clothes,user21,6-1-2,121,121,121,0,0,0,0,0,True,
train__c05__user21__6-1-3,train,5,Put_on_clothes,user21,6-1-3,44,44,44,0,0,0,0,0,True,
train__c05__user22__2-2-1,train,5,Put_on_clothes,user22,2-2-1,74,74,74,0,0,0,0,0,True,
train__c05__user22__2-2-2,train,5,Put_on_clothes,user22,2-2-2,114,114,114,0,0,0,0,0,True,
train__c05__user22__2-2-3,train,5,Put_on_clothes,user22,2-2-3,41,41,41,0,0,0,0,0,True,
train__c05__user22__6-1-1,train,5,Put_on_clothes,user22,6-1-1,52,52,52,0,0,0,0,0,True,
train__c05__user22__6-1-2,train,5,Put_on_clothes,user22,6-1-2,46,46,46,0,0,0,0,0,True,
train__c05__user22__6-1-3,train,5,Put_on_clothes,user22,6-1-3,56,56,56,0,0,0,0,0,True,
train__c05__user22__7-2-1,train,5,Put_on_clothes,user22,7-2-1,81,81,81,0,0,0,0,0,True,
train__c05__user22__7-2-2,train,5,Put_on_clothes,user22,7-2-2,62,62,62,0,0,0,0,0,True,
train__c05__user22__7-2-3,train,5,Put_on_clothes,user22,7-2-3,26,26,26,0,0,0,0,0,True,
train__c05__user3__1-1-1,train,5,Put_on_clothes,user3,1-1-1,0,0,0,73,73,0,0,0,False,depth_unparsed=73; ir_unparsed=73
train__c05__user3__1-1-2,train,5,Put_on_clothes,user3,1-1-2,0,0,0,44,44,0,0,0,False,depth_unparsed=44; ir_unparsed=44
train__c05__user3__1-1-3,train,5,Put_on_clothes,user3,1-1-3,0,0,0,34,34,0,0,0,False,depth_unparsed=34; ir_unparsed=34
train__c05__user7__1-1-1,train,5,Put_on_clothes,user7,1-1-1,67,67,67,0,0,0,0,0,True,
train__c05__user7__1-1-2,train,5,Put_on_clothes,user7,1-1-2,69,69,69,0,0,0,0,0,True,
train__c05__user7__1-1-3,train,5,Put_on_clothes,user7,1-1-3,72,72,72,0,0,0,0,0,True,
train__c05__user7__6-1-1,train,5,Put_on_clothes,user7,6-1-1,35,35,35,0,0,0,0,0,True,
train__c05__user7__6-1-2,train,5,Put_on_clothes,user7,6-1-2,71,71,71,0,0,0,0,0,True,
train__c05__user7__6-1-3,train,5,Put_on_clothes,user7,6-1-3,33,33,33,0,0,0,0,0,True,
train__c05__user8__6-1-1,train,5,Put_on_clothes,user8,6-1-1,145,145,145,0,0,0,0,0,True,
train__c05__user8__6-1-2,train,5,Put_on_clothes,user8,6-1-2,93,93,93,0,0,0,0,0,True,
train__c05__user8__6-1-3,train,5,Put_on_clothes,user8,6-1-3,41,41,41,0,0,0,0,0,True,
train__c05__user8__7-1-1,train,5,Put_on_clothes,user8,7-1-1,71,71,71,0,0,0,0,0,True,
train__c05__user8__7-1-2,train,5,Put_on_clothes,user8,7-1-2,65,65,65,0,0,0,0,0,True,
train__c05__user8__7-1-3,train,5,Put_on_clothes,user8,7-1-3,16,16,16,0,0,0,0,0,True,
train__c05__user9__1-1-1,train,5,Put_on_clothes,user9,1-1-1,61,61,61,0,0,0,0,0,True,
train__c05__user9__1-1-2,train,5,Put_on_clothes,user9,1-1-2,36,36,36,0,0,0,0,0,True,
train__c05__user9__1-1-3,train,5,Put_on_clothes,user9,1-1-3,43,43,43,0,0,0,0,0,True,
train__c06__user16__1-2-1,train,6,Drink_water,user16,1-2-1,25,25,25,0,0,0,0,0,True,
train__c06__user16__1-2-2,train,6,Drink_water,user16,1-2-2,29,29,29,0,0,0,0,0,True,
train__c06__user16__1-2-3,train,6,Drink_water,user16,1-2-3,20,20,20,0,0,0,0,0,True,
train__c06__user16__3-2-1,train,6,Drink_water,user16,3-2-1,31,31,31,0,0,0,0,0,True,
train__c06__user16__3-2-2,train,6,Drink_water,user16,3-2-2,25,25,25,0,0,0,0,0,True,
train__c06__user16__3-2-3,train,6,Drink_water,user16,3-2-3,13,13,13,0,0,0,0,0,True,
train__c06__user16__5-3-1,train,6,Drink_water,user16,5-3-1,138,138,138,0,0,0,0,0,True,
train__c06__user16__5-3-2,train,6,Drink_water,user16,5-3-2,78,78,78,0,0,0,0,0,True,
train__c06__user16__5-3-3,train,6,Drink_water,user16,5-3-3,32,32,32,0,0,0,0,0,True,
train__c06__user16__6-2-1,train,6,Drink_water,user16,6-2-1,16,16,16,0,0,0,0,0,True,
train__c06__user16__6-2-2,train,6,Drink_water,user16,6-2-2,13,13,13,0,0,0,0,0,True,
train__c06__user16__6-2-3,train,6,Drink_water,user16,6-2-3,19,19,19,0,0,0,0,0,True,
train__c06__user18__6-2-1,train,6,Drink_water,user18,6-2-1,9,9,9,0,0,0,0,0,True,
train__c06__user18__6-2-3,train,6,Drink_water,user18,6-2-3,5,5,5,0,0,0,0,0,True,
train__c06__user19__3-2-1,train,6,Drink_water,user19,3-2-1,13,13,13,0,0,0,0,0,True,
