sample_id,class_id,action_name,user_id,frame_key,people_count,selected_candidate,best_rmse,second_rmse,relative_margin,confident_10pct,confident_20pct,selected_is_json_first,valid_common_joints,candidate_rmses,skeleton_path,ir_path
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-43.916_00000150,2,0,0.15734524696652988,0.6220090606562658,0.7470370499096606,True,True,True,10,0.15734525|0.62200906,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-43.916_00000150.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-43.916_00000150.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.016_00000151,2,0,0.15696242535064883,0.7158389041124154,0.780729400918395,True,True,True,10,0.15696243|0.71583890,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.016_00000151.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.016_00000151.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.116_00000152,2,0,0.15060496468903095,0.6795208915450177,0.7783659537728084,True,True,True,10,0.15060496|0.67952089,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.116_00000152.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.116_00000152.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.216_00000153,2,0,0.14686650531740003,0.7824244151205199,0.8122930439296459,True,True,True,10,0.14686651|0.78242442,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.216_00000153.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.216_00000153.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.316_00000154,2,0,0.14839419687617747,0.687855521945234,0.7842654567102648,True,True,True,10,0.14839420|0.68785552,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.316_00000154.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.316_00000154.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.416_00000155,2,0,0.15154552867386814,0.7691793990160832,0.8029776553197839,True,True,True,10,0.15154553|0.76917940,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.416_00000155.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.416_00000155.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.516_00000156,2,0,0.15231484543197824,0.7617927961172691,0.8000573827840042,True,True,True,10,0.15231485|0.76179280,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.516_00000156.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.516_00000156.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.616_00000157,2,0,0.14628257217784113,0.7782651125352976,0.8120401777984021,True,True,True,10,0.14628257|0.77826511,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.616_00000157.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.616_00000157.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.716_00000158,2,0,0.15273104632228152,0.7550640919557283,0.7977243945918745,True,True,True,10,0.15273105|0.75506409,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.716_00000158.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.716_00000158.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.816_00000159,2,0,0.17004931187566732,0.7787523976983685,0.7816387951057945,True,True,True,11,0.17004931|0.77875240,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.816_00000159.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.816_00000159.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-44.916_00000160,2,0,0.17723141701726902,0.6832302281009596,0.7405978106239763,True,True,True,11,0.17723142|0.68323023,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-44.916_00000160.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-44.916_00000160.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-45.016_00000161,2,0,0.19137385347553226,0.794249549869621,0.759050724665885,True,True,True,11,0.19137385|0.79424955,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-45.016_00000161.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-45.016_00000161.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-45.116_00000162,2,0,0.18212569661332823,0.696063889689114,0.738349166921054,True,True,True,11,0.18212570|0.69606389,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-45.116_00000162.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-45.116_00000162.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-45.216_00000163,2,0,0.17802015163361665,0.8202068597654034,0.7829570071085066,True,True,True,11,0.17802015|0.82020686,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-45.216_00000163.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-45.216_00000163.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-45.316_00000164,2,0,0.17413347691415498,0.7999917663840793,0.7823309136027372,True,True,True,11,0.17413348|0.79999177,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-45.316_00000164.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-45.316_00000164.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-45.416_00000165,2,0,0.1476150516661056,0.7842751102197796,0.8117815422897469,True,True,True,10,0.14761505|0.78427511,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-45.416_00000165.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-45.416_00000165.png
train__c11__user16__3-2-1,11,Peel_fruits,user16,2025-06-11_14-38-45.516_00000166,2,0,0.1521087476212861,0.777718004793765,0.8044165794237691,True,True,True,10,0.15210875|0.77771800,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\11_Peel_fruits\user16\3-2-1\predictions\Color_2025-06-11_14-38-45.516_00000166.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\11_Peel_fruits\user16\3-2-1\IR_2025-06-11_14-38-45.516_00000166.png
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,2025-06-09_10-51-30.116_00000042,2,0,0.11556072005908537,0.8518611131632178,0.8643432382657151,True,True,True,12,0.11556072|0.85186111,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\12_Sweep_the_floor\user16\3-1-3\predictions\Color_2025-06-09_10-51-30.116_00000042.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\12_Sweep_the_floor\user16\3-1-3\IR_2025-06-09_10-51-30.116_00000042.png
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,2025-06-09_10-51-31.916_00000060,2,0,0.09454872214176432,0.6133435899986965,0.8458470526414643,True,True,True,12,0.09454872|0.61334359,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\12_Sweep_the_floor\user16\3-1-3\predictions\Color_2025-06-09_10-51-31.916_00000060.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\12_Sweep_the_floor\user16\3-1-3\IR_2025-06-09_10-51-31.916_00000060.png
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,2025-06-09_10-51-32.916_00000070,2,0,0.18871680945903557,0.722326261142136,0.7387374381755992,True,True,True,12,0.18871681|0.72232626,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\12_Sweep_the_floor\user16\3-1-3\predictions\Color_2025-06-09_10-51-32.916_00000070.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\12_Sweep_the_floor\user16\3-1-3\IR_2025-06-09_10-51-32.916_00000070.png
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,2025-06-09_10-51-33.416_00000075,2,0,0.10352707845333842,0.8708220729799878,0.8811156932448156,True,True,True,12,0.10352708|0.87082207,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\12_Sweep_the_floor\user16\3-1-3\predictions\Color_2025-06-09_10-51-33.416_00000075.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\12_Sweep_the_floor\user16\3-1-3\IR_2025-06-09_10-51-33.416_00000075.png
train__c12__user16__3-1-3,12,Sweep_the_floor,user16,2025-06-09_10-51-34.116_00000082,2,0,0.09908362138367319,0.8830543483257669,0.8877944244637587,True,True,True,12,0.09908362|0.88305435,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\12_Sweep_the_floor\user16\3-1-3\predictions\Color_2025-06-09_10-51-34.116_00000082.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\12_Sweep_the_floor\user16\3-1-3\IR_2025-06-09_10-51-34.116_00000082.png
train__c17__user16__4-1-1,17,Tap_the_keyboard,user16,2025-06-09_17-52-58.616_00000067,2,0,0.2887745939525427,0.5698876851148919,0.4932780590015303,True,True,True,10,0.28877459|0.56988769,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\17_Tap_the_keyboard\user16\4-1-1\predictions\Color_2025-06-09_17-52-58.616_00000067.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\17_Tap_the_keyboard\user16\4-1-1\IR_2025-06-09_17-52-58.616_00000067.png
train__c17__user16__4-1-1,17,Tap_the_keyboard,user16,2025-06-09_17-52-58.716_00000068,2,0,0.2886481546691524,0.8399618537390348,0.656355638789721,True,True,True,10,0.28864815|0.83996185,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\17_Tap_the_keyboard\user16\4-1-1\predictions\Color_2025-06-09_17-52-58.716_00000068.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\17_Tap_the_keyboard\user16\4-1-1\IR_2025-06-09_17-52-58.716_00000068.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-10.116_00000602,3,0,0.18399222318295264,0.3992448814809865,0.5391494500807645,True,True,True,12,0.18399222|0.41420658|0.39924488,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-10.116_00000602.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-10.116_00000602.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-10.216_00000603,2,0,0.16416969868228173,0.5998041724972025,0.7262945037564783,True,True,True,12,0.16416970|0.59980417,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-10.216_00000603.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-10.216_00000603.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-13.416_00000635,2,0,0.21048146403902115,3.568356145098812,0.9410144460137141,True,True,True,12,0.21048146|3.56835615,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-13.416_00000635.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-13.416_00000635.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-13.516_00000636,2,0,0.2160736523061705,2.010491554361784,0.8925269535017959,True,True,True,12,0.21607365|2.01049155,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-13.516_00000636.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-13.516_00000636.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-13.616_00000637,2,0,0.20087642256882102,0.7052019955649298,0.7151505188128389,True,True,True,12,0.20087642|0.70520200,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-13.616_00000637.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-13.616_00000637.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-13.716_00000638,2,0,0.16950181303100453,0.7440580111372127,0.772192745063064,True,True,True,11,0.16950181|0.74405801,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-13.716_00000638.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-13.716_00000638.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-13.816_00000639,2,0,0.11971626211761736,0.5587835816941943,0.7857555840229848,True,True,True,8,0.11971626|0.55878358,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-13.816_00000639.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-13.816_00000639.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-13.916_00000640,2,0,0.1511701973679076,1.0950356026730308,0.8619495137885066,True,True,True,11,0.15117020|1.09503560,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-13.916_00000640.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-13.916_00000640.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-14.016_00000641,2,0,0.17011172962095047,1.1499082031201415,0.8520649481764091,True,True,True,12,0.17011173|1.14990820,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-14.016_00000641.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-14.016_00000641.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-14.116_00000642,2,0,0.12842272293908,0.8328005522699536,0.845794142920487,True,True,True,9,0.12842272|0.83280055,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-14.116_00000642.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-14.116_00000642.png
train__c20__user16__5-3-1,20,Check_the_time,user16,2025-06-09_11-03-14.216_00000643,2,0,0.15968754794503934,1.0946316603266009,0.854117550466799,True,True,True,12,0.15968755|1.09463166,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\20_Check_the_time\user16\5-3-1\predictions\Color_2025-06-09_11-03-14.216_00000643.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\20_Check_the_time\user16\5-3-1\IR_2025-06-09_11-03-14.216_00000643.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.016_00000551,2,0,0.17974821694992948,2.3524129884387364,0.9235898552535939,True,True,True,12,0.17974822|2.35241299,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.016_00000551.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.016_00000551.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.116_00000552,2,0,0.18303091721488318,1.4716794829653599,0.8756312639175446,True,True,True,12,0.18303092|1.47167948,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.116_00000552.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.116_00000552.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.216_00000553,2,0,0.18269516059051377,0.8268748238015929,0.7790534246156331,True,True,True,12,0.18269516|0.82687482,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.216_00000553.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.216_00000553.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.316_00000554,2,0,0.17254382541818242,0.9050580831166957,0.8093560748896874,True,True,True,12,0.17254383|0.90505808,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.316_00000554.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.316_00000554.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.416_00000555,2,0,0.18926067349100623,0.7825360930111228,0.7581444802593712,True,True,True,12,0.18926067|0.78253609,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.416_00000555.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.416_00000555.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.516_00000556,2,0,0.16701117647170977,1.0342330926811112,0.8385168898059957,True,True,True,12,0.16701118|1.03423309,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.516_00000556.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.516_00000556.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.616_00000557,2,0,0.1786060360124109,0.736827615346051,0.7576013272405262,True,True,True,12,0.17860604|0.73682762,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.616_00000557.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.616_00000557.png
train__c26__user16__5-3-1,26,Play_games,user16,2025-06-09_11-03-05.716_00000558,2,0,0.17363824209933196,0.8939847098424561,0.8057704564880851,True,True,True,12,0.17363824|0.89398471,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\26_Play_games\user16\5-3-1\predictions\Color_2025-06-09_11-03-05.716_00000558.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\26_Play_games\user16\5-3-1\IR_2025-06-09_11-03-05.716_00000558.png
